code,name,metric,fy,basis,value,unit,source,as_of
1662,"Japan Petroleum Exploration Co.,Ltd.",net_profit,FY2026,company,45000000000.0,jpy_abs,jquants,2026-05-13
1662,"Japan Petroleum Exploration Co.,Ltd.",net_sales,FY2026,company,347000000000.0,jpy_abs,jquants,2026-05-13
1662,"Japan Petroleum Exploration Co.,Ltd.",net_sales,FY2026,consensus,379660000000.0,jpy_abs,yfinance,2026-08-27
1662,"Japan Petroleum Exploration Co.,Ltd.",operating_profit,FY2026,company,39000000000.0,jpy_abs,jquants,2026-05-13
1662,"Japan Petroleum Exploration Co.,Ltd.",dps,FY2027,company,45.0,jpy,jquants,2026-05-13
1662,"Japan Petroleum Exploration Co.,Ltd.",eps,FY2027,company,234.38,jpy,jquants,2026-05-13
1662,"Japan Petroleum Exploration Co.,Ltd.",eps,FY2027,consensus,192.596,jpy,yfinance,2026-08-27
1662,"Japan Petroleum Exploration Co.,Ltd.",net_profit,FY2027,company,60000000000.0,jpy_abs,jquants,2026-05-13
1662,"Japan Petroleum Exploration Co.,Ltd.",net_sales,FY2027,company,303000000000.0,jpy_abs,jquants,2026-05-13
1662,"Japan Petroleum Exploration Co.,Ltd.",net_sales,FY2027,consensus,407140000000.0,jpy_abs,yfinance,2026-08-27
1662,"Japan Petroleum Exploration Co.,Ltd.",operating_profit,FY2027,company,41000000000.0,jpy_abs,jquants,2026-05-13
1662,"Japan Petroleum Exploration Co.,Ltd.",eps,FY2028,consensus,196.496,jpy,yfinance,2026-08-27
1662,"Japan Petroleum Exploration Co.,Ltd.",net_sales,FY2028,consensus,407140000000.0,jpy_abs,yfinance,2026-08-27
1719,HAZAMA ANDO CORPORATION,dps,FY2026,company,80.0,jpy,jquants,2026-05-14
1719,HAZAMA ANDO CORPORATION,eps,FY2026,company,181.1,jpy,jquants,2026-05-14
1719,HAZAMA ANDO CORPORATION,eps,FY2026,consensus,161.95332,jpy,yfinance,2026-08-27
1719,HAZAMA ANDO CORPORATION,net_profit,FY2026,company,28400000000.0,jpy_abs,jquants,2026-05-14
1719,HAZAMA ANDO CORPORATION,net_sales,FY2026,company,438000000000.0,jpy_abs,jquants,2026-05-14
1719,HAZAMA ANDO CORPORATION,net_sales,FY2026,consensus,474000000000.0,jpy_abs,yfinance,2026-08-27
