Code,Date,Close,MarketCapB
1301,2026-04-09,5100.0,
1305,2026-04-09,4002.0,
1306,2026-04-09,396.70001220703125,
1308,2026-04-09,3915.0,
1309,2026-04-09,53140.0,
1311,2026-04-09,1936.0,
1319,2026-04-09,715.0,
1320,2026-04-09,58260.0,
1321,2026-04-09,58500.0,
1322,2026-04-09,11325.0,
1324,2026-04-09,0.7099999785423279,
1325,2026-04-09,331.8999938964844,
1326,2026-04-09,68820.0,
1328,2026-04-09,17765.0,
1329,2026-04-09,5821.0,
1330,2026-04-09,58600.0,
1332,2026-04-09,1377.0,
1333,2026-04-09,1490.5,
1343,2026-04-09,2069.0,
1345,2026-04-09,1939.0,
1346,2026-04-09,58110.0,
1348,2026-04-09,3908.0,
1349,2026-04-09,17885.0,
1356,2026-04-09,131.3000030517578,
1357,2026-04-09,4292.0,
1358,2026-04-09,99990.0,
1360,2026-04-09,105.4000015258789,
1364,2026-04-09,3498.0,
1365,2026-04-09,80150.0,
1366,2026-04-09,109.0,
1367,2026-04-09,65910.0,
1368,2026-04-09,190.0,
1369,2026-04-09,56790.0,
1375,2026-04-09,1057.0,
1376,2026-04-09,1456.0,
1377,2026-04-09,4240.0,
1379,2026-04-09,1942.0,
1380,2026-04-09,1030.0,
1381,2026-04-09,3935.0,
1382,2026-04-09,1753.0,
1383,2026-04-09,3360.0,
1384,2026-04-09,2946.0,
1397,2026-04-09,56490.0,
1398,2026-04-09,1957.5,
1399,2026-04-09,2986.0,
1401,2026-04-09,1413.0,
1407,2026-04-09,1824.0,
1414,2026-04-09,1440.0,
1417,2026-04-09,3748.0,
1418,2026-04-09,498.0,
1419,2026-04-09,4055.0,
1420,2026-04-09,662.0,
1429,2026-04-09,709.0,
1430,2026-04-09,1071.0,
1431,2026-04-09,645.0,
1432,2026-04-09,174.0,
1433,2026-04-09,1129.0,
1434,2026-04-09,1819.0,
1435,2026-04-09,205.0,
1436,2026-04-09,4030.0,
1438,2026-04-09,1827.0,
1443,2026-04-09,297.0,
1444,2026-04-09,2739.0,
1445,2026-04-09,2900.0,
1446,2026-04-09,537.0,
1447,2026-04-09,346.0,
1450,2026-04-09,1499.0,
1452,2026-04-09,18530.0,
1456,2026-04-09,1543.0,
1457,2026-04-09,1954.0,
1458,2026-04-09,61900.0,
1459,2026-04-09,173.0,
1466,2026-04-09,245.0,
1469,2026-04-09,233.0,
1472,2026-04-09,95.0,
1473,2026-04-09,3836.0,
1474,2026-04-09,34530.0,
1475,2026-04-09,387.0,
1476,2026-04-09,1982.0,
1477,2026-04-09,3214.0,
1478,2026-04-09,5111.0,
