Code,MarketCapB
5334,1617.4
5440,102.7
5444,735.9
5659,46.9
5905,1.8
5959,44.7
6080,102.7
6135,271.3
6185,5.6
6196,81.6
6268,554.3
6325,4.5
6391,7.8
6454,297.4
6770,436.7
6817,40.1
6870,11.2
6888,5.6
6920,3726.8
6932,40.0
6961,135.2
6971,3395.0
6981,7546.9
7172,123.0
7177,109.6
7475,21.8
7539,19.0
7600,14.5
7625,4.8
7741,9931.8
7942,64.5
7947,195.7
7976,133.2
7981,185.4
8015,6978.7
8035,20118.2
8056,442.5
8103,32.0
8133,226.3
8174,310.3
8616,188.7
8699,36.2
8700,7.2
8803,163.9
8898,11.6
9001,575.8
9020,4016.9
9021,1422.1
9044,344.3
9064,581.4
9104,2223.3
9110,176.7
9158,30.3
9201,1112.6
9202,1326.2
9206,7.5
9219,5.3
9301,480.3
9362,4.2
9503,2889.3
9506,582.4
9507,377.2
9508,860.0
9511,57.0
9533,496.1
9534,77.2
9687,26.6
9715,147.6
9733,66.6
9742,42.3
9914,2.1
9962,803.8
2413,1067.2
2480,6.0
2768,1328.1
299A,39.5
3191,131.2
4107,257.3
4206,235.0
4565,92.4
4772,10.3
5832,548.6
5857,282.8
5906,12.8
5933,21.1
6099,45.4
6141,376.5
6420,144.7
6632,175.5
6724,663.1
7446,3.9
7740,169.6
7774,24.2
8001,14161.4
8031,17832.0
8053,7256.1
8058,19491.3
8165,6.2
8303,1502.1
8473,1996.7
8860,30.1
9619,50.2
9682,165.4
9799,16.2
9950,10.0
2335,15.7
2489,10.9
2802,4458.7
2924,15.2
3064,885.8
3326,2.9
3668,55.1
3984,23.3
4012,6.7
4151,1343.3
4262,8.8
4326,63.8
4475,29.1
4582,7.0
4746,81.2
5187,10.1
5261,41.3
5445,49.3
5955,15.9
6200,57.3
6230,10.0
6370,888.3
6395,185.2
6809,62.7
6841,1435.3
6853,18.7
7120,4.1
7419,324.2
7480,24.7
7575,101.0
7609,59.5
7711,34.4
7972,171.9
8005,44.9
8012,503.7
8255,106.7
8739,78.4
9325,12.7
9424,21.2
9701,15.3
9768,27.8
9878,1.5
9955,35.0
151A,5.3
2378,19.9
2461,29.7
2666,2.4
2681,72.8
2693,2.8
2700,16.5
2705,50.3
2782,211.2
2790,53.7
2883,11.7
2914,10604.4
303A,1.6
3097,172.2
3166,19.1
3167,152.1
3190,4.0
3202,3.7
3221,35.6
3238,3.5
3252,71.5
3261,2.0
3271,36.1
3286,4.3
3302,75.0
3352,3.8
3386,7.2
3553,23.5
3563,1085.9
3626,743.3
3660,45.8
3663,41.0
3690,3.5
3712,16.1
3762,70.4
3765,132.9
3766,4.2
3850,13.4
3908,1.6
3910,1.6
3917,3.7
3926,9.3
3934,10.8
3946,56.2
3997,15.7
4025,37.2
4120,2.9
4263,15.5
4284,9.1
4286,11.5
4320,20.1
4335,2.9
4350,15.8
4390,39.7
4483,230.9
4528,1179.2
4556,9.5
4559,101.6
4563,22.9
4572,7.9
4588,73.2
4642,8.9
4674,58.4
4678,2.2
4689,2765.4
4690,4.0
4769,7.7
4792,31.5
4800,10.6
4923,34.0
4958,118.2
4967,439.4
4970,91.7
5015,23.0
5186,127.9
5262,53.1
5284,13.3
5302,53.1
5380,1.1
5388,15.6
5391,10.8
5408,33.6
5411,1187.4
5464,37.0
5480,65.6
5727,228.2
5742,4.2
5816,25.9
5830,916.3
5941,15.5
5950,2.6
6023,57.0
6050,19.2
6062,43.8
6088,50.2
6147,1.3
6155,5.2
6156,10.1
6158,6.5
6222,32.0
6223,43.1
6326,3067.8
6327,16.0
6340,97.9
6413,74.9
6448,760.4
6557,7.7
6565,21.0
6629,12.1
6643,28.8
6662,3.2
6745,159.3
6775,1.7
6804,135.7
6832,27.7
6874,22.1
6877,80.9
6882,13.8
6901,5.6
6908,75.9
6929,73.9
6976,619.9
6996,134.3
7013,3501.7
7040,6.3
7089,7.8
7130,83.9
7134,8.1
7164,424.2
7173,372.0
7203,43257.8
7211,426.4
7224,166.7
7291,8.2
7399,3.9
7412,124.6
7421,78.1
7442,8.8
7464,2.8
7466,26.7
7472,15.0
7504,59.0
7509,6.5
7616,205.4
7723,45.5
7731,631.2
7791,3.3
7792,12.8
7841,9.7
7917,100.9
7963,9.3
7966,331.3
7971,37.8
7974,9568.5
7980,6.5
7987,16.1
7989,52.6
7994,243.8
8052,50.9
8065,51.1
8074,134.4
8084,71.4
8113,1649.2
8131,123.9
8137,47.4
8158,23.7
8173,77.3
8202,13.8
8282,280.5
8367,239.7
8410,317.6
8418,559.2
8566,185.6
8596,31.9
8747,15.8
8864,50.3
8919,263.3
8996,4.1
9029,24.8
9072,571.6
9107,1682.0
9119,193.1
9143,923.7
9324,68.6
9339,3.0
9361,5.8
9376,3.2
9413,109.7
9421,3.6
9432,12466.0
9436,315.5
9478,7.2
9532,2475.4
9698,9.2
9702,23.4
9706,505.0
9753,12.5
9759,206.7
9766,2637.3
9790,70.0
9831,362.5
9849,3.1
9867,8.4
9882,136.6
9902,71.9
130A,3.2
2009,25.7
208A,31.3
2395,63.1
2488,6.8
2613,68.1
2730,235.5
2763,35.2
2810,279.0
2816,13.6
2903,16.6
2915,32.7
3132,410.5
3143,6.4
3157,19.3
3199,27.6
3276,22.2
3288,1150.3
3289,988.0
3294,29.5
3317,4.5
3371,47.7
3401,330.5
3433,169.5
3447,13.6
3577,3.0
3744,3.7
3771,28.9
3951,17.6
3970,2.4
4062,2761.2
4091,2556.9
417A,382.6
4186,1090.6
4189,102.0
4203,463.9
4351,4.1
4366,13.8
4368,322.7
4385,595.7
438A,16.2
4403,733.9
4404,22.7
4491,6.2
4547,194.8
4613,438.8
4617,168.2
4624,7.2
4719,47.9
4736,3.0
4884,3.3
4925,6.5
4927,292.1
4951,30.8
4960,10.7
5016,4238.7
5035,2.7
5121,49.4
5202,49.8
5283,5.5
5310,123.9
5393,586.0
5406,769.0
5451,205.5
5535,22.5
5603,4.5
5660,8.8
5713,2701.7
5821,64.8
5842,117.4
5902,28.0
5946,68.1
5958,13.7
5988,40.3
5991,520.1
6031,5.8
6046,3.1
6226,70.8
6248,3.6
6277,92.9
6315,205.4
6322,10.8
6328,60.0
6364,54.7
6366,301.9
6466,9.9
6480,69.3
6481,639.4
6588,151.7
6622,329.3
6677,34.0
6678,15.4
6730,12.4
6744,259.6
6768,55.9
6772,8.6
6806,694.8
6928,20.6
7128,54.3
7192,9.6
7247,13.4
7366,43.2
7443,3.9
7460,32.9
7461,7.1
7490,8.5
7537,31.0
7564,510.1
7570,25.4
7606,69.8
7615,2.2
7634,16.9
7636,11.2
7721,124.1
7743,18.3
7846,173.4
7885,16.3
7951,531.2
7955,33.5
8098,219.9
8283,290.2
8334,858.8
8336,238.2
8377,755.1
8416,11.0
8439,1021.8
8591,5358.3
8835,7.5
8850,244.2
8934,151.9
9006,424.5
9068,165.3
9090,120.3
9101,2499.0
9142,571.6
9273,35.4
9304,74.9
9342,2.3
9405,36.2
9434,10087.6
9535,26.8
9543,111.6
9699,123.0
9739,37.5
9820,4.0
9828,49.7
9832,127.1
9854,4.6
9869,206.0
9991,58.5
166A,50.2
1866,30.1
1938,65.8
1994,4.3
202A,56.8
2120,24.9
2122,7.8
2304,4.7
2393,37.4
2418,30.7
2432,281.2
2433,382.0
2445,18.5
2477,15.8
2483,6.0
250A,26.7
2588,148.0
2602,176.0
2607,311.9
262A,61.7
2674,28.5
2676,37.7
2767,90.4
2871,486.3
2937,15.8
