code,name,fy,metric,first_value,first_as_of,latest_value,latest_as_of,revisions
1333,Umios Corporation,FY2027,operating_profit,32000000000.0,2026-05-11,32000000000.0,2026-05-11,0
1333,Umios Corporation,FY2027,ordinary_profit,30000000000.0,2026-05-11,30000000000.0,2026-05-11,0
1377,SAKATA SEED CORPORATION,FY2025,dps,65.0,2024-07-12,65.0,2025-04-08,0
1377,SAKATA SEED CORPORATION,FY2025,eps,182.44,2024-07-12,205.25,2025-04-08,1
1377,SAKATA SEED CORPORATION,FY2025,net_profit,8000000000.0,2024-07-12,9000000000.0,2025-04-08,1
1377,SAKATA SEED CORPORATION,FY2025,net_sales,93500000000.0,2024-07-12,93500000000.0,2025-04-08,0
1377,SAKATA SEED CORPORATION,FY2025,operating_profit,11000000000.0,2024-07-12,11000000000.0,2025-04-08,0
1377,SAKATA SEED CORPORATION,FY2025,ordinary_profit,11000000000.0,2024-07-12,11000000000.0,2025-04-08,0
1377,SAKATA SEED CORPORATION,FY2026,dps,75.0,2025-07-14,75.0,2026-04-07,0
1377,SAKATA SEED CORPORATION,FY2026,eps,208.09,2025-07-14,231.22,2026-04-07,1
1377,SAKATA SEED CORPORATION,FY2026,net_profit,9000000000.0,2025-07-14,10000000000.0,2026-04-07,1
1377,SAKATA SEED CORPORATION,FY2026,net_sales,95500000000.0,2025-07-14,101000000000.0,2026-04-07,1
1377,SAKATA SEED CORPORATION,FY2026,operating_profit,11000000000.0,2025-07-14,12500000000.0,2026-04-07,1
1377,SAKATA SEED CORPORATION,FY2026,ordinary_profit,11000000000.0,2025-07-14,13000000000.0,2026-04-07,1
1414,"SHO-BOND Holdings Co.,Ltd.",FY2025,dps,142.5,2024-08-09,142.5,2025-05-09,0
1414,"SHO-BOND Holdings Co.,Ltd.",FY2025,eps,284.75,2024-08-09,285.03,2025-05-09,1
1414,"SHO-BOND Holdings Co.,Ltd.",FY2025,net_profit,14700000000.0,2024-08-09,14700000000.0,2025-05-09,0
1414,"SHO-BOND Holdings Co.,Ltd.",FY2025,net_sales,92000000000.0,2024-08-09,92000000000.0,2025-05-09,0
1414,"SHO-BOND Holdings Co.,Ltd.",FY2025,operating_profit,20600000000.0,2024-08-09,20600000000.0,2025-05-09,0
1414,"SHO-BOND Holdings Co.,Ltd.",FY2025,ordinary_profit,21100000000.0,2024-08-09,21100000000.0,2025-05-09,0
1414,"SHO-BOND Holdings Co.,Ltd.",FY2026,dps,182.0,2025-08-12,25.0,2026-05-11,2
1414,"SHO-BOND Holdings Co.,Ltd.",FY2026,eps,302.69,2025-08-12,75.4,2026-05-11,2
1414,"SHO-BOND Holdings Co.,Ltd.",FY2026,net_profit,15300000000.0,2025-08-12,15300000000.0,2026-05-11,0
1414,"SHO-BOND Holdings Co.,Ltd.",FY2026,net_sales,95000000000.0,2025-08-12,91000000000.0,2026-05-11,1
1414,"SHO-BOND Holdings Co.,Ltd.",FY2026,operating_profit,21500000000.0,2025-08-12,21000000000.0,2026-05-11,1
1414,"SHO-BOND Holdings Co.,Ltd.",FY2026,ordinary_profit,22000000000.0,2025-08-12,21500000000.0,2026-05-11,1
1417,MIRAIT ONE Corporation,FY2025,dps,75.0,2024-08-09,75.0,2025-02-14,0
1417,MIRAIT ONE Corporation,FY2025,eps,198.12,2024-08-09,198.12,2025-02-14,0
1417,MIRAIT ONE Corporation,FY2025,net_profit,18000000000.0,2024-08-09,18000000000.0,2025-02-14,0
1417,MIRAIT ONE Corporation,FY2025,net_sales,570000000000.0,2024-08-09,570000000000.0,2025-02-14,0
1417,MIRAIT ONE Corporation,FY2025,operating_profit,27000000000.0,2024-08-09,27000000000.0,2025-02-14,0
1417,MIRAIT ONE Corporation,FY2025,ordinary_profit,28000000000.0,2024-08-09,28000000000.0,2025-02-14,0
1417,MIRAIT ONE Corporation,FY2026,dps,85.0,2025-05-13,85.0,2026-02-13,0
1417,MIRAIT ONE Corporation,FY2026,eps,236.73,2025-05-13,236.73,2026-02-13,0
1417,MIRAIT ONE Corporation,FY2026,net_profit,21000000000.0,2025-05-13,21000000000.0,2026-02-13,0
