Code,VsTopix3M,VsTopix6M,VsTopix12M,TopixReturn3M,TopixReturn6M,TopixReturn12M,ComputedDate
9565,-8.9,,,3.73,24.13,53.95,2026-08-06
9644,,-17.6,,3.73,24.13,53.95,2026-08-06
9658,,-20.0,,3.73,24.13,53.95,2026-08-06
9682,4.3,-27.0,,3.73,24.13,53.95,2026-08-06
9701,,-25.0,,3.73,24.13,53.95,2026-08-06
9706,,-12.8,,3.73,24.13,53.95,2026-08-06
9713,,-20.8,,3.73,24.13,53.95,2026-08-06
9753,,-10.4,,3.73,24.13,53.95,2026-08-06
9816,,-34.9,,3.73,24.13,53.95,2026-08-06
9842,,-23.6,,3.73,24.13,53.95,2026-08-06
9843,,-22.7,,3.73,24.13,53.95,2026-08-06
9854,,-1.8,,3.73,24.13,53.95,2026-08-06
9857,,-25.3,,3.73,24.13,53.95,2026-08-06
9876,,-28.1,,3.73,24.13,53.95,2026-08-06
9885,,-24.8,,3.73,24.13,53.95,2026-08-06
9888,,15.7,,3.73,24.13,53.95,2026-08-06
9890,,-11.6,,3.73,24.13,53.95,2026-08-06
9895,,-15.7,,3.73,24.13,53.95,2026-08-06
9902,,1.6,,3.73,24.13,53.95,2026-08-06
9914,,-43.9,,3.73,24.13,53.95,2026-08-06
9929,,-17.9,,3.73,24.13,53.95,2026-08-06
9932,,-26.2,,3.73,24.13,53.95,2026-08-06
9974,-10.3,-30.8,,3.73,24.13,53.95,2026-08-06
9989,,-28.4,,3.73,24.13,53.95,2026-08-06
9997,,-15.0,,3.73,24.13,53.95,2026-08-06
