Code,Date,Close,MarketCapB,Volume,TurnoverJPY
1301,2026-09-09,4620.0,54.9,29900,138138000
1306,2026-09-09,421.3999938964844,,10282250,4332940087
1308,2026-09-09,4162.0,,104680,435678160
1332,2026-09-09,1185.5,359.5,2171100,2573839050
1333,2026-09-09,1266.0,191.4,410600,519819600
1349,2026-09-09,17150.0,,38,660275
1377,2026-09-09,4285.0,181.1,93700,401504500
1414,2026-09-09,1258.5,254.3,1002900,1262149650
1417,2026-09-09,3540.0,313.9,199200,705168000
1419,2026-09-09,2870.0,83.2,97000,278390000
1515,2026-09-09,3740.0,294.3,703000,2629220000
1518,2026-09-09,2283.0,87.7,263500,601570500
1579,2026-09-09,721.4000244140625,,11318920,8165469164
1605,2026-09-09,3912.0,4546.4,5239700,20497706400
1662,2026-09-09,1911.0,489.1,1379800,2636797800
1663,2026-09-09,1994.0,53.2,180400,359717600
167A,2026-09-09,3145.0,,137400,432123000
1684,2026-09-09,2794.5,,220,614790
1694,2026-09-09,2300.0,,100,230000
1697,2026-09-09,4774.0,,180,859320
1719,2026-09-09,1924.0,301.6,585700,1126886800
1720,2026-09-09,1189.0,126.0,184000,218776000
1721,2026-09-09,5467.0,634.4,335800,1835818600
1766,2026-09-09,13800.0,153.2,11400,157320000
1801,2026-09-09,13340.0,2174.6,606500,8090710000
1802,2026-09-09,3108.0,,2416500,7510482000
1803,2026-09-09,2533.5,1714.1,3346900,8479371150
1808,2026-09-09,2821.5,,1043900,2945363850
1812,2026-09-09,5187.0,,2195500,11388058500
1820,2026-09-09,5639.0,222.7,108700,612959300
1833,2026-09-09,5800.0,208.1,117900,683820000
1835,2026-09-09,3965.0,136.6,58900,233538500
1852,2026-09-09,883.0,71.3,299900,264811700
1860,2026-09-09,1529.0,458.2,755400,1155006600
1861,2026-09-09,1313.0,225.7,725800,952975400
1870,2026-09-09,2121.0,91.6,99600,211251600
1871,2026-09-09,2236.0,104.7,85400,190954400
1878,2026-09-09,3301.0,1093.8,1395100,4605225100
1882,2026-09-09,1605.0,74.2,347300,557416500
1885,2026-09-09,2140.0,,394600,844444000
1893,2026-09-09,1510.0,412.4,1744400,2634044000
1898,2026-09-09,1490.0,54.6,136900,203981000
1911,2026-09-09,1259.0,769.8,4733900,5959980100
1925,2026-09-09,4631.0,2868.2,1887600,8741475600
1926,2026-09-09,3850.0,164.7,120500,463925000
1928,2026-09-09,3321.0,2152.8,2274500,7553614500
1930,2026-09-09,1593.0,43.8,52000,82836000
1934,2026-09-09,2662.0,182.8,129300,344196600
1941,2026-09-09,5230.0,276.9,74400,389112000
1942,2026-09-09,5752.0,1144.7,672300,3867069600
1944,2026-09-09,7153.0,1416.2,541000,3869773000
1950,2026-09-09,4120.0,240.5,75700,311884000
1951,2026-09-09,2588.5,537.1,424600,1099077100
1952,2026-09-09,3210.0,145.8,147200,472512000
1959,2026-09-09,8192.0,,174800,1431961600
1961,2026-09-09,2457.0,125.1,288500,708844500
1963,2026-09-09,2440.0,,1704600,4159224000
1964,2026-09-09,3895.0,28.2,17700,68941500
1968,2026-09-09,2600.0,164.1,112800,293280000
1969,2026-09-09,4502.0,589.2,535700,2411721400
1975,2026-09-09,3935.0,101.4,60000,236100000
1979,2026-09-09,3830.0,241.3,163800,627354000
1980,2026-09-09,2865.0,370.7,408900,1171498500
2001,2026-09-09,2962.0,245.8,125000,370250000
2002,2026-09-09,2037.5,575.6,1063100,2166066250
2009,2026-09-09,1098.0,,7300,8015400
2019,2026-09-09,981.0,,11720,11497320
2092,2026-09-09,4506.0,,9,40554
2109,2026-09-09,3795.0,118.1,57300,217453500
2121,2026-09-09,3460.0,225.3,276700,957382000
2124,2026-09-09,956.0,151.4,372200,355823200
2127,2026-09-09,625.0999755859375,198.4,4604200,2878085308
2146,2026-09-09,221.0,,3893300,860419300
2154,2026-09-09,1925.0,163.5,141400,272195000
2156,2026-09-09,274.0,,4300,1178200
2157,2026-09-09,992.0,81.8,580100,575459200
2168,2026-09-09,1580.0,59.0,121000,191180000
2175,2026-09-09,2531.0,207.7,487300,1233356300
2181,2026-09-09,279.0,622.4,8652300,2413991700
2201,2026-09-09,2469.0,207.4,340000,839460000
2206,2026-09-09,4980.0,,172400,858552000
2208,2026-09-09,3110.0,75.2,1900,5909000
2209,2026-09-09,2383.0,30.5,17300,41225900
2212,2026-09-09,3848.0,757.7,599200,2305721600
2220,2026-09-09,1346.0,85.1,182400,245510400
2222,2026-09-09,2455.0,379.1,1261900,3097964500
2229,2026-09-09,3020.0,,291900,881538000
2264,2026-09-09,1098.5,88.8,1845200,2026952200
2267,2026-09-09,2794.0,817.4,928500,2594229000
2269,2026-09-09,4344.0,1177.7,1121300,4870927200
2270,2026-09-09,3715.0,225.6,116100,431311500
2281,2026-09-09,2403.0,120.8,147500,354442500
2282,2026-09-09,6142.0,581.1,616200,3784700400
2292,2026-09-09,2755.0,87.3,142400,392312000
2296,2026-09-09,5000.0,283.8,94900,474500000
2317,2026-09-09,424.0,,836500,354676000
2326,2026-09-09,4400.0,,91100,400840000
2327,2026-09-09,3797.0,,213000,808761000
2331,2026-09-09,1193.5,,905000,1080117500
2337,2026-09-09,393.0,,781600,307168800
2349,2026-09-09,2465.0,,100,246500
2353,2026-09-09,267.0,,1361200,363440400
2370,2026-09-09,25.0,,243700,6092500
2371,2026-09-09,3702.0,,149200,552338400
2379,2026-09-09,1793.0,,258200,462952600
2384,2026-09-09,4860.0,,48800,237168000
2404,2026-09-09,527.0,,8300,4374100
2413,2026-09-09,1666.0,,3277000,5459482000
2418,2026-09-09,595.0,,78600,46767000
2432,2026-09-09,2489.0,,1261800,3140620200
2433,2026-09-09,1294.0,,762900,987192600
2454,2026-09-09,352.0,,5100,1795200
2492,2026-09-09,701.0,,4196800,2941956800
2497,2026-09-09,530.0,,18400,9752000
2501,2026-09-09,1845.0,,1024200,1889649000
2502,2026-09-09,1605.0,,5470400,8779992000
2503,2026-09-09,2804.0,,2863600,8029534400
2530,2026-09-09,17005.0,,21,357105
2531,2026-09-09,2446.0,,634900,1552965400
2569,2026-09-09,4315.0,,4965,21423975
2579,2026-09-09,3754.0,,641900,2409692600
2585,2026-09-09,1438.0,,575400,827425200
2587,2026-09-09,4463.0,,1139500,5085588500
2590,2026-09-09,3055.0,,88200,269451000
2593,2026-09-09,3135.0,,409800,1284723000
2602,2026-09-09,2078.0,,226900,471498200
2607,2026-09-09,4395.0,,229400,1008213000
2640,2026-09-09,4160.0,,12523,52095680
2659,2026-09-09,3330.0,,173600,578088000
2664,2026-09-09,3735.0,,68800,256968000
2670,2026-09-09,2670.0,,647800,1729626000
2678,2026-09-09,1241.0,,322300,399974300
2681,2026-09-09,2256.0,,159000,358704000
2685,2026-09-09,3220.0,,216600,697452000
268A,2026-09-09,1653.0,,2751800,4548725400
2695,2026-09-09,1716.0,,540200,926983200
2702,2026-09-09,8150.0,,459000,3740850000
2726,2026-09-09,1512.0,,1204700,1821506400
2730,2026-09-09,2448.0,,188000,460224000
2733,2026-09-09,2655.0,,69300,183991500
2749,2026-09-09,654.0,,192100,125633400
2752,2026-09-09,1150.0,,76000,87400000
2760,2026-09-09,4025.0,,87000,350175000
2767,2026-09-09,2473.0,,397400,982770200
2768,2026-09-09,5864.0,,1302800,7639619200
2778,2026-09-09,114.0,,10400,1185600
2784,2026-09-09,2292.0,,314700,721292400
2791,2026-09-09,4680.0,,52100,243828000
2801,2026-09-09,1695.0,,3788700,6421846500
2802,2026-09-09,5084.0,,3209700,16318114800
2809,2026-09-09,4650.0,,209100,972315000
2810,2026-09-09,3840.0,,222900,855936000
2811,2026-09-09,2744.5,,227700,624922650
2813,2026-09-09,3915.0,,400,1566000
2815,2026-09-09,5320.0,,65700,349524000
2852,2026-09-09,171.89999389648438,,24220,4163418
285A,2026-09-09,57000.0,,30759700,1753302900000
2871,2026-09-09,2142.0,,1235000,2645370000
2874,2026-09-09,2189.0,,108400,237287600
2875,2026-09-09,10110.0,,428400,4331124000
2897,2026-09-09,2916.5,,1044200,3045409300
2914,2026-09-09,6610.0,,3211800,21229998000
2918,2026-09-09,2737.0,,66200,181189400
2923,2026-09-09,8050.0,,2200,17710000
2931,2026-09-09,343.0,,508200,174312600
2979,2026-09-09,99400.0,,2648,263211200
2980,2026-09-09,2313.0,,277000,640701000
3002,2026-09-09,4050.0,,140700,569835000
3003,2026-09-09,1752.0,,1961600,3436723200
3028,2026-09-09,2278.0,,77500,176545000
3034,2026-09-09,2194.0,,87400,191755600
3036,2026-09-09,3465.0,,122100,423076500
3038,2026-09-09,3108.0,,2983200,9271785600
3046,2026-09-09,5610.0,,250700,1406427000
3048,2026-09-09,1692.0,,522400,883900800
3050,2026-09-09,1574.0,,207900,327234600
3064,2026-09-09,1867.5,,1832000,3421260000
3076,2026-09-09,2959.0,,89400,264534600
3086,2026-09-09,2600.0,,1756100,4565860000
3087,2026-09-09,3280.0,,83800,274864000
3088,2026-09-09,2530.0,,1359700,3440041000
3091,2026-09-09,2821.0,,67700,190981700
3092,2026-09-09,1106.5,,2154400,2383843600
3097,2026-09-09,5700.0,,153400,874380000
3099,2026-09-09,3122.0,,2419400,7553366800
3101,2026-09-09,1631.0,,470800,767874800
3105,2026-09-09,2308.5,,799100,1844722350
3106,2026-09-09,11010.0,,22500,247725000
3107,2026-09-09,3718.0,,169500,630201000
3110,2026-09-09,3065.0,,4243900,13007553500
3116,2026-09-09,2215.0,,502500,1113037500
3132,2026-09-09,3551.0,,685300,2433500300
3138,2026-09-09,1128.0,,3300,3722400
3148,2026-09-09,3340.0,,54900,183366000
3159,2026-09-09,403.0,,60000,24180000
3166,2026-09-09,1465.0,,1100,1611500
3167,2026-09-09,1327.0,,300600,398896200
3172,2026-09-09,1119.0,,2700,3021300
3178,2026-09-09,1195.0,,18400,21988000
3179,2026-09-09,1139.0,,94500,107635500
