Code,Date,Close,MarketCapB
1301,2025-12-25,4709.28,0
1305,2025-12-25,3624.0,0
1332,2025-12-25,1148.37,0
1333,2025-12-25,1272.67,0
1349,2025-12-25,17568.15,0
1375,2025-12-25,1035.3,0
1376,2025-12-25,1571.0,0
1377,2025-12-25,4280.0,0
1379,2025-12-25,1967.92,0
1380,2025-12-25,992.81,0
1381,2025-12-25,4020.0,0
1382,2025-12-25,1805.0,0
1383,2025-12-25,3130.0,0
1384,2025-12-25,2909.6,0
1401,2025-12-25,1312.0,0
1407,2025-12-25,1494.08,0
1414,2025-12-25,1278.39,0
1417,2025-12-25,3512.56,0
1418,2025-12-25,658.3,0
1419,2025-12-25,3590.0,0
1420,2025-12-25,676.0,0
1429,2025-12-25,866.77,0
1430,2025-12-25,985.0,0
1431,2025-12-25,681.74,0
1433,2025-12-25,1265.68,0
1434,2025-12-25,1537.0,0
1435,2025-12-25,185.99,0
1436,2025-12-25,2400.0,0
1438,2025-12-25,1781.33,0
1443,2025-12-25,242.08,0
1444,2025-12-25,2849.0,0
1445,2025-12-25,2900.0,0
1446,2025-12-25,553.0,0
1447,2025-12-25,267.08,0
1450,2025-12-25,1369.61,0
1452,2025-12-25,18530.0,0
1491,2025-12-25,877.0,0
1514,2025-12-25,516.21,0
1515,2025-12-25,2198.8,0
1518,2025-12-25,1362.03,0
1557,2025-12-25,106909.76,0
1605,2025-12-25,3107.79,0
1662,2025-12-25,1531.42,0
1663,2025-12-25,3715.0,0
1711,2025-12-25,236.0,0
1716,2025-12-25,1393.0,0
1717,2025-12-25,1037.26,0
1718,2025-12-25,8542.71,0
1719,2025-12-25,1855.07,0
1720,2025-12-25,1307.95,0
1721,2025-12-25,4529.33,0
1723,2025-12-25,1898.64,0
1724,2025-12-25,694.0,0
1726,2025-12-25,346.0,0
1736,2025-12-25,2326.35,0
1758,2025-12-25,2416.94,0
1762,2025-12-25,4039.37,0
1764,2025-12-25,2906.0,0
1766,2025-12-25,14750.0,0
1768,2025-12-25,1349.68,0
1770,2025-12-25,1723.07,0
1773,2025-12-25,79.0,0
1776,2025-12-25,1606.0,0
1780,2025-12-25,1451.84,0
1783,2025-12-25,61.0,0
1786,2025-12-25,404.83,0
1787,2025-12-25,5359.85,0
1788,2025-12-25,4980.0,0
1793,2025-12-25,1472.27,0
1795,2025-12-25,4455.0,0
1798,2025-12-25,1095.43,0
1799,2025-12-25,3567.31,0
1801,2025-12-25,14739.39,0
1803,2025-12-25,2639.78,0
1807,2025-12-25,1808.41,0
1810,2025-12-25,1453.57,0
1811,2025-12-25,7512.09,0
1813,2025-12-25,2593.1,0
1814,2025-12-25,3644.71,0
1815,2025-12-25,4337.58,0
1820,2025-12-25,5619.76,0
1822,2025-12-25,742.59,0
1826,2025-12-25,1069.79,0
1827,2025-12-25,1073.78,0
1828,2025-12-25,2455.48,0
1833,2025-12-25,6015.17,0
1835,2025-12-25,4464.35,0
1840,2025-12-25,218.0,0
1844,2025-12-25,494.0,0
1847,2025-12-25,2359.39,0
1848,2025-12-25,545.85,0
1850,2025-12-25,593.83,0
1852,2025-12-25,1003.8,0
1860,2025-12-25,1246.77,0
1861,2025-12-25,1535.41,0
1867,2025-12-25,2638.6,0
1870,2025-12-25,2298.67,0
1871,2025-12-25,2803.54,0
1873,2025-12-25,321.0,0
1878,2025-12-25,2949.1,0
1879,2025-12-25,2001.55,0
1882,2025-12-25,1672.01,0
1887,2025-12-25,530.0,0
1888,2025-12-25,4367.03,0
1893,2025-12-25,1528.69,0
1897,2025-12-25,2871.49,0
1898,2025-12-25,1600.74,0
1899,2025-12-25,7775.73,0
1904,2025-12-25,4458.98,0
1905,2025-12-25,1343.98,0
1909,2025-12-25,2265.63,0
1911,2025-12-25,1591.9,0
1921,2025-12-25,1980.04,0
1925,2025-12-25,5078.2,0
1926,2025-12-25,3347.56,0
1928,2025-12-25,3408.94,0
1929,2025-12-25,1258.49,0
1930,2025-12-25,1474.13,0
1934,2025-12-25,2725.61,0
1939,2025-12-25,1512.59,0
1941,2025-12-25,4476.88,0
1942,2025-12-25,5001.91,0
1944,2025-12-25,6807.58,0
1945,2025-12-25,1805.68,0
1946,2025-12-25,1878.59,0
1948,2025-12-25,4985.35,0
1950,2025-12-25,3151.41,0
1951,2025-12-25,2577.12,0
1952,2025-12-25,3116.13,0
1960,2025-12-25,1261.89,0
1961,2025-12-25,5830.17,0
1964,2025-12-25,4203.21,0
1965,2025-12-25,6371.71,0
1966,2025-12-25,1716.83,0
1967,2025-12-25,2026.95,0
1968,2025-12-25,2091.76,0
1969,2025-12-25,4401.7,0
1972,2025-12-25,1427.63,0
1975,2025-12-25,3438.59,0
1976,2025-12-25,1657.85,0
1979,2025-12-25,3272.19,0
1980,2025-12-25,2397.98,0
1982,2025-12-25,2369.53,0
1992,2025-12-25,2665.75,0
1997,2025-12-25,3940.0,0
2001,2025-12-25,2350.64,0
2002,2025-12-25,1898.61,0
2003,2025-12-25,1727.19,0
2053,2025-12-25,1704.97,0
2055,2025-12-25,340.45,0
2060,2025-12-25,1043.76,0
2108,2025-12-25,3558.46,0
2109,2025-12-25,3213.48,0
2112,2025-12-25,512.48,0
2114,2025-12-25,593.61,0
2121,2025-12-25,2658.33,0
2124,2025-12-25,1058.13,0
2127,2025-12-25,712.69,0
2130,2025-12-25,1228.66,0
2134,2025-12-25,30.0,0
2136,2025-12-25,1519.69,0
2138,2025-12-25,559.0,0
2139,2025-12-25,402.89,0
2148,2025-12-25,1490.23,0
2152,2025-12-25,1379.11,0
2154,2025-12-25,1837.0,0
2157,2025-12-25,1229.31,0
2158,2025-12-25,897.0,0
2162,2025-12-25,472.47,0
2163,2025-12-25,2021.15,0
2164,2025-12-25,244.0,0
2168,2025-12-25,1995.0,0
2169,2025-12-25,1792.88,0
2170,2025-12-25,506.03,0
2173,2025-12-25,836.02,0
2175,2025-12-25,1338.13,0
2179,2025-12-25,779.4,0
2180,2025-12-25,833.03,0
2181,2025-12-25,285.7,0
2183,2025-12-25,282.28,0
2185,2025-12-25,1677.93,0
2186,2025-12-25,885.81,0
2195,2025-12-25,288.02,0
2198,2025-12-25,792.0,0
2201,2025-12-25,2638.28,0
2204,2025-12-25,3002.28,0
2207,2025-12-25,2320.89,0
2208,2025-12-25,2469.35,0
2209,2025-12-25,2507.5,0
2211,2025-12-25,2602.29,0
2212,2025-12-25,3331.21,0
2215,2025-12-25,657.0,0
2216,2025-12-25,1593.21,0
2217,2025-12-25,1521.31,0
2220,2025-12-25,1294.97,0
2221,2025-12-25,2967.56,0
2222,2025-12-25,1828.83,0
2224,2025-12-25,3393.69,0
2226,2025-12-25,4551.05,0
2264,2025-12-25,3713.79,0
2266,2025-12-25,1221.0,0
2267,2025-12-25,2412.11,0
2268,2025-12-25,3989.93,0
2269,2025-12-25,3444.52,0
