Code,Date,Close,MarketCapB,Volume,TurnoverJPY
1301,2026-09-11,4625.0,54.9,29900,138287500
1306,2026-09-11,419.70001220703125,,9426310,3956222422
1308,2026-09-11,4149.0,,372079,1543755771
1332,2026-09-11,1170.0,354.8,1775500,2077335000
1333,2026-09-11,1271.5,192.2,359700,457358550
1377,2026-09-11,4360.0,184.3,96800,422048000
1414,2026-09-11,1241.0,250.8,1018400,1263834400
1417,2026-09-11,3512.0,311.4,234900,824968800
1419,2026-09-11,2852.0,82.7,89200,254398400
1482,2026-09-11,1514.0,,28766,43551724
1497,2026-09-11,1724.0,,8331,14362644
1515,2026-09-11,3340.0,262.8,646700,2159978000
1518,2026-09-11,2223.0,85.4,260600,579313800
1586,2026-09-11,3020.0,,69,208380
1593,2026-09-11,37120.0,,5296,196587520
1605,2026-09-11,3930.0,4567.4,6057700,23806761000
1662,2026-09-11,1921.0,491.7,1585600,3045937600
1663,2026-09-11,1926.0,51.4,158000,304308000
167A,2026-09-11,3170.0,,130400,413368000
1684,2026-09-11,2690.0,,220,591800
1694,2026-09-11,2219.0,,75,166425
1719,2026-09-11,1862.0,291.9,631000,1174922000
1720,2026-09-11,1179.0,124.9,232800,274471200
1721,2026-09-11,5372.0,623.4,531000,2852532000
1766,2026-09-11,13490.0,149.8,16200,218538000
1788,2026-09-11,4060.0,2.5,400,1624000
1801,2026-09-11,12470.0,2032.7,881500,10992305000
1802,2026-09-11,3012.0,,2969900,8945338800
1803,2026-09-11,2360.0,1596.7,3891900,9184884000
1808,2026-09-11,2719.5,,1098500,2987370750
1812,2026-09-11,4897.0,,2760500,13518168500
1814,2026-09-11,3485.0,36.2,59500,207357500
1820,2026-09-11,5479.0,216.3,108700,595567300
1833,2026-09-11,5650.0,202.7,156800,885920000
1835,2026-09-11,3860.0,132.9,79500,306870000
1852,2026-09-11,871.0,70.3,310500,270445500
1860,2026-09-11,1472.0,441.1,800500,1178336000
1861,2026-09-11,1278.0,219.7,835600,1067896800
1867,2026-09-11,2675.0,17.6,1700,4547500
1870,2026-09-11,2104.0,90.9,95000,199880000
1878,2026-09-11,3298.0,1092.8,1250200,4123159600
1882,2026-09-11,1585.0,73.2,347300,550470500
1885,2026-09-11,2067.0,,418400,864832800
1887,2026-09-11,543.0,43.3,214600,116527800
1893,2026-09-11,1438.0,392.7,1930800,2776490400
1898,2026-09-11,1473.0,54.0,133400,196498200
1911,2026-09-11,1218.0,744.7,5391300,6566603400
1925,2026-09-11,4598.0,2847.8,1570700,7222078600
1926,2026-09-11,3760.0,160.8,131500,494440000
1928,2026-09-11,3361.0,2178.7,3209500,10787129500
1934,2026-09-11,2587.0,177.7,129300,334499100
1941,2026-09-11,5120.0,271.1,77000,394240000
1942,2026-09-11,5433.0,1081.2,658300,3576543900
1944,2026-09-11,6756.0,1337.6,553000,3736068000
1950,2026-09-11,3965.0,231.4,111200,440908000
1951,2026-09-11,2540.5,527.2,445500,1131792750
1952,2026-09-11,3140.0,142.6,148600,466604000
1959,2026-09-11,7887.0,,174800,1378647600
1961,2026-09-11,2299.0,117.1,319800,735220200
1963,2026-09-11,2312.0,,1743600,4031203200
1968,2026-09-11,2513.0,158.6,134300,337495900
1969,2026-09-11,4395.0,575.2,548600,2411097000
1975,2026-09-11,3740.0,96.4,65200,243848000
1979,2026-09-11,3700.0,233.1,163800,606060000
1980,2026-09-11,2653.0,343.2,542100,1438191300
2001,2026-09-11,2970.0,246.5,125000,371250000
2002,2026-09-11,2039.5,576.1,1063100,2168192450
2004,2026-09-11,3925.0,,42900,168382500
2013,2026-09-11,301.6000061035156,,352350,106268762
2053,2026-09-11,2010.0,59.3,59600,119796000
2109,2026-09-11,3805.0,118.4,53600,203948000
2114,2026-09-11,674.0,34.6,13500,9099000
2121,2026-09-11,3650.0,237.6,276700,1009955000
2124,2026-09-11,956.0,151.4,409000,391004000
2127,2026-09-11,627.9000244140625,199.2,5137200,3225648005
2146,2026-09-11,219.0,,3799200,832024800
2152,2026-09-11,1498.0,16.2,200,299600
2154,2026-09-11,1923.0,163.3,160400,308449200
2157,2026-09-11,977.0,80.5,580100,566757700
2168,2026-09-11,1532.0,57.2,137800,211109600
2175,2026-09-11,2583.0,212.0,440300,1137294900
2181,2026-09-11,284.1000061035156,633.8,11276400,3203625309
2201,2026-09-11,2442.0,205.2,344600,841513200
2206,2026-09-11,4984.0,,149500,745108000
2212,2026-09-11,3867.0,761.4,598000,2312466000
2220,2026-09-11,1349.0,85.3,150400,202889600
2222,2026-09-11,2543.5,392.8,1261900,3209642650
2229,2026-09-11,3009.0,,316700,952950300
2264,2026-09-11,1106.0,89.4,2263900,2503873400
2267,2026-09-11,2816.0,823.9,936100,2636057600
2269,2026-09-11,4257.0,1154.1,1055300,4492412100
2270,2026-09-11,3700.0,224.7,125500,464350000
2281,2026-09-11,2390.0,120.1,149200,356588000
2282,2026-09-11,6247.0,591.1,615700,3846277900
2292,2026-09-11,2717.0,86.1,117400,318975800
2296,2026-09-11,5000.0,283.8,107700,538500000
2311,2026-09-11,785.0,,7000,5495000
2317,2026-09-11,425.0,,824800,350540000
2326,2026-09-11,4485.0,,91100,408583500
2327,2026-09-11,3810.0,,170000,647700000
2331,2026-09-11,1216.5,,1100300,1338514950
2337,2026-09-11,401.0,,783400,314143400
2353,2026-09-11,258.0,,1482800,382562400
2371,2026-09-11,3796.0,,168500,639626000
2379,2026-09-11,1797.0,,235100,422474700
2384,2026-09-11,4810.0,,48300,232323000
2413,2026-09-11,1690.0,,3721700,6289673000
2432,2026-09-11,2496.0,,1055900,2635526400
2433,2026-09-11,1302.0,,987700,1285985400
2492,2026-09-11,700.0,,3269600,2288720000
2501,2026-09-11,1838.0,,1024200,1882479600
2502,2026-09-11,1586.5,,5737700,9102861050
2503,2026-09-11,2775.0,,3018100,8375227500
2510,2026-09-11,795.2999877929688,,9690,7706457
2512,2026-09-11,711.7999877929688,,116140,82668451
