Code,Date,Close,MarketCapB
1301,2026-01-29,4942.32,0
1305,2026-01-29,3753.0,0
1326,2026-01-29,78570.0,0
1332,2026-01-29,1259.41,0
1333,2026-01-29,1366.81,0
1349,2026-01-29,17420.0,0
1375,2026-01-29,1045.19,0
1376,2026-01-29,1469.0,0
1377,2026-01-29,4025.0,0
1379,2026-01-29,1927.86,0
1380,2026-01-29,1006.68,0
1381,2026-01-29,4370.0,0
1382,2026-01-29,1812.0,0
1383,2026-01-29,3210.0,0
1384,2026-01-29,2895.2,0
1401,2026-01-29,1521.0,0
1407,2026-01-29,1561.63,0
1414,2026-01-29,1376.0,0
1417,2026-01-29,3710.12,0
1418,2026-01-29,557.03,0
1419,2026-01-29,3695.0,0
1420,2026-01-29,694.32,0
1429,2026-01-29,871.0,0
1430,2026-01-29,1055.0,0
1431,2026-01-29,632.43,0
1433,2026-01-29,1211.0,0
1434,2026-01-29,1871.0,0
1435,2026-01-29,161.0,0
1436,2026-01-29,2525.0,0
1438,2026-01-29,1755.61,0
1443,2026-01-29,307.83,0
1444,2026-01-29,2587.0,0
1445,2026-01-29,2900.0,0
1446,2026-01-29,574.0,0
1447,2026-01-29,411.5,0
1450,2026-01-29,1386.01,0
1452,2026-01-29,18530.0,0
1491,2026-01-29,1164.0,0
1514,2026-01-29,700.43,0
1515,2026-01-29,3574.04,0
1518,2026-01-29,1378.53,0
1557,2026-01-29,106411.11,0
1605,2026-01-29,3434.0,0
1662,2026-01-29,1880.77,0
1663,2026-01-29,4190.0,0
1711,2026-01-29,268.0,0
1716,2026-01-29,1364.0,0
1717,2026-01-29,1051.64,0
1718,2026-01-29,8490.0,0
1719,2026-01-29,1960.82,0
1720,2026-01-29,1264.55,0
1721,2026-01-29,4796.17,0
1723,2026-01-29,2482.83,0
1724,2026-01-29,736.0,0
1726,2026-01-29,350.0,0
1736,2026-01-29,2464.63,0
1758,2026-01-29,2480.0,0
1762,2026-01-29,3743.08,0
1764,2026-01-29,2982.0,0
1766,2026-01-29,14750.0,0
1768,2026-01-29,1435.48,0
1770,2026-01-29,1720.13,0
1773,2026-01-29,82.0,0
1776,2026-01-29,1570.0,0
1780,2026-01-29,1440.95,0
1783,2026-01-29,65.0,0
1786,2026-01-29,401.89,0
1787,2026-01-29,5465.51,0
1788,2026-01-29,5790.0,0
1793,2026-01-29,1539.91,0
1795,2026-01-29,4700.0,0
1798,2026-01-29,1174.68,0
1799,2026-01-29,3644.65,0
1801,2026-01-29,15199.22,0
1803,2026-01-29,2711.69,0
1807,2026-01-29,1883.88,0
1810,2026-01-29,1457.45,0
1811,2026-01-29,8005.66,0
1813,2026-01-29,2909.72,0
1814,2026-01-29,3761.97,0
1815,2026-01-29,4679.77,0
1820,2026-01-29,5643.28,0
1822,2026-01-29,757.92,0
1826,2026-01-29,1142.0,0
1827,2026-01-29,1141.26,0
1828,2026-01-29,2673.62,0
1833,2026-01-29,6298.35,0
1835,2026-01-29,4592.46,0
1840,2026-01-29,226.0,0
1844,2026-01-29,621.0,0
1847,2026-01-29,2429.71,0
1848,2026-01-29,601.51,0
1850,2026-01-29,552.33,0
1852,2026-01-29,1022.27,0
1860,2026-01-29,1341.16,0
1861,2026-01-29,1718.48,0
1867,2026-01-29,2792.28,0
1870,2026-01-29,2277.13,0
1871,2026-01-29,3015.29,0
1873,2026-01-29,317.0,0
1878,2026-01-29,2947.14,0
1879,2026-01-29,1947.32,0
1882,2026-01-29,1700.28,0
1887,2026-01-29,626.0,0
1888,2026-01-29,4425.19,0
1893,2026-01-29,1637.5,0
1897,2026-01-29,3185.0,0
1898,2026-01-29,1615.41,0
1899,2026-01-29,7910.0,0
1904,2026-01-29,4655.63,0
1905,2026-01-29,1368.56,0
1909,2026-01-29,2680.95,0
1911,2026-01-29,1622.5,0
1921,2026-01-29,2098.88,0
1925,2026-01-29,5083.1,0
1926,2026-01-29,3440.69,0
1928,2026-01-29,3420.0,0
1929,2026-01-29,1281.97,0
1930,2026-01-29,1524.39,0
1934,2026-01-29,2874.56,0
1939,2026-01-29,1672.27,0
1941,2026-01-29,4506.46,0
1942,2026-01-29,5689.51,0
1944,2026-01-29,7494.38,0
1945,2026-01-29,1786.0,0
1946,2026-01-29,2092.67,0
1948,2026-01-29,6226.73,0
1950,2026-01-29,3415.25,0
1951,2026-01-29,2571.2,0
1952,2026-01-29,3336.61,0
1960,2026-01-29,1368.74,0
1961,2026-01-29,6630.58,0
1964,2026-01-29,4261.18,0
