Code,Date,Close,MarketCapB
1306,2026-05-29,417.8999938964844,
1308,2026-05-29,4133.0,
1325,2026-05-29,303.70001220703125,
1357,2026-05-29,2958.0,
1368,2026-05-29,169.0,
1380,2026-05-29,1005.0,4.2
1419,2026-05-29,3065.0,88.8
1438,2026-05-29,1833.0,5.9
1478,2026-05-29,5060.0,
1487,2026-05-29,12205.0,
1488,2026-05-29,1884.0,
1491,2026-05-29,720.0,10.4
1493,2026-05-29,25880.0,
1497,2026-05-29,1763.0,
1541,2026-05-29,8855.0,
1568,2026-05-29,948.7999877929688,
1569,2026-05-29,769.2999877929688,
1572,2026-05-29,7007.0,
1586,2026-05-29,3130.0,
1596,2026-05-29,3045.0,
1626,2026-05-29,44460.0,
1663,2026-05-29,4120.0,110.0
1677,2026-05-29,60800.0,
1678,2026-05-29,312.29998779296875,
1694,2026-05-29,2639.5,
1699,2026-05-29,629.5,
1776,2026-05-29,1996.0,18.4
1802,2026-05-29,3245.0,2230.68
1810,2026-05-29,1350.0,38.5
1813,2026-05-29,2738.0,41.5
1835,2026-05-29,4265.0,146.9
1840,2026-05-29,229.0,5.9
1847,2026-05-29,2542.0,36.9
1852,2026-05-29,810.0,65.4
1871,2026-05-29,2189.0,102.5
1934,2026-05-29,2403.0,165.1
2002,2026-05-29,1965.0,555.1
2003,2026-05-29,1715.0,62.5
2011,2026-05-29,805.0,
2018,2026-05-29,1293.0,
2031,2026-05-29,7978.0,
2036,2026-05-29,178500.0,
2043,2026-05-29,27590.0,
2050,2026-05-29,31600.0,
2065,2026-05-29,56060.0,
2082,2026-05-29,1158.0,
2092,2026-05-29,4672.0,
2093,2026-05-29,5293.0,
2098,2026-05-29,973.0,
2114,2026-05-29,617.0,31.7
2121,2026-05-29,2643.0,172.1
2124,2026-05-29,847.0,134.2
2136,2026-05-29,1403.0,5.3
2169,2026-05-29,1765.0,12.0
2183,2026-05-29,220.0,5.0
2193,2026-05-29,123.0,8.84
2196,2026-05-29,166.0,
2201,2026-05-29,2491.5,209.3
2206,2026-05-29,5442.0,340.68
2241,2026-05-29,896.0,
2251,2026-05-29,887.4000244140625,
2256,2026-05-29,224.8999938964844,
2291,2026-05-29,537.0,1.8
2300,2026-05-29,496.0,2.61
2307,2026-05-29,921.0,12.89
2332,2026-05-29,1952.0,10.01
2379,2026-05-29,1750.0,91.62
2413,2026-05-29,1424.0,950.42
2418,2026-05-29,588.0,27.66
2424,2026-05-29,599.0,3.19
2462,2026-05-29,1493.0,28.65
2471,2026-05-29,237.0,18.51
2513,2026-05-29,3556.0,
2516,2026-05-29,648.0999755859375,
2530,2026-05-29,18120.0,
2540,2026-05-29,4020.0,55.73
2559,2026-05-29,29795.0,
2563,2026-05-29,403.7000122070313,
2565,2026-05-29,900.0,
2587,2026-05-29,4329.0,1337.66
2613,2026-05-29,1977.0,65.47
2659,2026-05-29,3105.0,190.74
2698,2026-05-29,3245.0,51.92
2700,2026-05-29,1780.0,14.56
2736,2026-05-29,650.0,2.33
2742,2026-05-29,3820.0,81.55
2751,2026-05-29,3515.0,42.32
2753,2026-05-29,1325.0,27.22
2769,2026-05-29,824.0,6.46
2780,2026-05-29,5710.0,62.75
