Code,Date,Close,MarketCapB,Volume,TurnoverJPY
1301,2026-09-07,4625.0,54.9,44700,206737500
1306,2026-09-07,430.1000061035156,,12651260,5441307003
1308,2026-09-07,4245.0,,104680,444366600
1311,2026-09-07,2151.0,,9802,21084102
1332,2026-09-07,1208.5,366.5,2171100,2623774350
1333,2026-09-07,1265.0,191.2,424800,537372000
1377,2026-09-07,4315.0,182.4,93700,404315500
1414,2026-09-07,1255.5,253.7,1059300,1329951150
1417,2026-09-07,3554.0,315.1,191700,681301800
1419,2026-09-07,2876.0,83.4,145800,419320800
1475,2026-09-07,423.6000061035156,,2564740,1086423880
1476,2026-09-07,1828.0,,87824,160542272
1515,2026-09-07,3490.0,274.6,1001900,3496631000
1518,2026-09-07,2301.0,88.4,332700,765542700
1566,2026-09-07,53290.0,,1071,57073590
1577,2026-09-07,60520.0,,9395,568585400
1595,2026-09-07,1835.0,,30371,55730785
1605,2026-09-07,3788.0,4402.3,5239700,19847983600
1662,2026-09-07,1878.0,480.7,1379800,2591264400
1663,2026-09-07,1995.0,53.3,203000,404985000
1673,2026-09-07,9280.0,,5850,54288000
167A,2026-09-07,3165.0,,143700,454810500
1692,2026-09-07,691.7999877929688,,1950,1349010
1694,2026-09-07,2273.5,,140,318290
1719,2026-09-07,1902.0,298.2,631000,1200162000
1720,2026-09-07,1181.0,125.1,267000,315327000
1721,2026-09-07,5419.0,628.9,330600,1791521400
1766,2026-09-07,13690.0,152.0,11700,160173000
1770,2026-09-07,2120.0,19.5,1900,4028000
1780,2026-09-07,1490.0,28.2,25500,37995000
1787,2026-09-07,5660.0,13.9,400,2264000
1801,2026-09-07,12825.0,2090.6,606500,7778362500
1802,2026-09-07,3018.0,,2416500,7292997000
1803,2026-09-07,2417.0,1635.2,2624700,6343899900
1808,2026-09-07,2842.0,,924600,2627713200
1811,2026-09-07,7660.0,54.9,800,6128000
1812,2026-09-07,5016.0,,1873300,9396472800
1820,2026-09-07,5587.0,220.6,160500,896713500
1833,2026-09-07,5740.0,205.9,156800,900032000
1835,2026-09-07,3970.0,136.7,51100,202867000
1852,2026-09-07,893.0,72.1,379400,338804200
1860,2026-09-07,1506.5,451.5,882200,1329034300
1861,2026-09-07,1296.0,222.8,725800,940636800
1870,2026-09-07,2132.0,92.1,148600,316815200
1873,2026-09-07,310.0,12.4,70900,21979000
1878,2026-09-07,3255.0,1078.6,1697900,5526664500
1882,2026-09-07,1614.0,74.6,414200,668518800
1885,2026-09-07,2138.0,,514200,1099359600
1893,2026-09-07,1465.0,400.1,1744400,2555546000
1898,2026-09-07,1491.0,54.6,200600,299094600
1911,2026-09-07,1285.0,785.7,4646000,5970110000
1925,2026-09-07,4634.0,2870.1,1887600,8747138400
1926,2026-09-07,3820.0,163.4,111500,425930000
1928,2026-09-07,3340.0,2165.1,2157700,7206718000
1934,2026-09-07,2650.0,182.0,150400,398560000
1938,2026-09-07,2559.0,,73400,187830600
1939,2026-09-07,2332.0,110.4,152200,354930400
1941,2026-09-07,5220.0,276.4,91100,475542000
1942,2026-09-07,5738.0,1141.9,716700,4112424600
1944,2026-09-07,7184.0,1422.4,616700,4430372800
1950,2026-09-07,4065.0,237.3,103700,421540500
1951,2026-09-07,2622.0,544.1,441900,1158661800
1952,2026-09-07,3225.0,146.5,131400,423765000
1959,2026-09-07,8209.0,,178500,1465306500
1961,2026-09-07,2475.0,126.0,291500,721462500
1963,2026-09-07,2391.5,,1705300,4078224950
1968,2026-09-07,2551.0,161.0,121300,309436300
1969,2026-09-07,4449.0,582.2,423400,1883706600
1975,2026-09-07,4005.0,103.2,64600,258723000
1979,2026-09-07,3895.0,245.4,210700,820676500
1980,2026-09-07,2829.0,366.0,411500,1164133500
1982,2026-09-07,3160.0,136.1,148000,467680000
2001,2026-09-07,2910.0,241.5,146200,425442000
2002,2026-09-07,2011.5,568.2,837200,1684027800
2043,2026-09-07,30500.0,,8,244000
2108,2026-09-07,5350.0,64.7,35700,190995000
2109,2026-09-07,3735.0,116.2,63800,238293000
2112,2026-09-07,470.0,12.9,34600,16262000
2114,2026-09-07,682.0,35.0,15100,10298200
2121,2026-09-07,3555.0,231.5,377700,1342723500
2124,2026-09-07,969.0,153.5,455700,441573300
2127,2026-09-07,654.7000122070312,207.8,3974200,2601908789
2136,2026-09-07,1431.0,5.4,1400,2003400
2146,2026-09-07,226.0,,4104300,927571800
2153,2026-09-07,1845.0,,45500,83947500
2154,2026-09-07,1965.0,166.9,124200,244053000
2156,2026-09-07,281.0,,600,168600
2157,2026-09-07,1003.0,82.7,722100,724266300
2168,2026-09-07,1603.0,59.9,143100,229389300
2175,2026-09-07,2568.0,210.8,614500,1578036000
2181,2026-09-07,294.79998779296875,657.7,8652300,2550697934
2201,2026-09-07,2493.0,209.5,393400,980746200
2206,2026-09-07,5021.0,,175600,881687600
2212,2026-09-07,3749.0,738.2,599200,2246400800
2220,2026-09-07,1322.0,83.6,182400,241132800
2222,2026-09-07,2503.5,386.6,691000,1729918500
2229,2026-09-07,3002.0,,252500,758005000
2236,2026-09-07,1467.0,,11861,17400087
2264,2026-09-07,1121.0,90.6,1693300,1898189300
2267,2026-09-07,2807.0,821.2,930700,2612474900
2269,2026-09-07,4371.0,1185.0,1121300,4901202300
2270,2026-09-07,3750.0,227.7,138200,518250000
2281,2026-09-07,2403.0,120.8,147500,354442500
2282,2026-09-07,6076.0,574.9,491000,2983316000
2292,2026-09-07,2768.0,87.7,190400,527027200
2296,2026-09-07,5000.0,283.8,93800,469000000
2317,2026-09-07,435.0,,1124300,489070500
2326,2026-09-07,4500.0,,103800,467100000
2327,2026-09-07,3859.0,,227100,876378900
2331,2026-09-07,1191.0,,905000,1077855000
2337,2026-09-07,391.0,,803500,314168500
2353,2026-09-07,269.0,,1361200,366162800
2371,2026-09-07,3700.0,,149200,552040000
2379,2026-09-07,1802.0,,284600,512849200
2384,2026-09-07,4980.0,,81600,406368000
2410,2026-09-07,2882.0,,24900,71761800
2413,2026-09-07,1703.5,,3735100,6362742850
2432,2026-09-07,2563.0,,1244000,3188372000
2433,2026-09-07,1299.0,,814700,1058295300
2438,2026-09-07,360.0,,52900,19044000
2471,2026-09-07,278.0,,234600,65218800
2492,2026-09-07,700.0,,4661200,3262840000
2493,2026-09-07,947.0,,1700,1609900
2501,2026-09-07,1851.0,,1095200,2027215200
2502,2026-09-07,1628.0,,5470400,8905811200
2503,2026-09-07,2871.5,,2863600,8222827400
2513,2026-09-07,3545.0,,9968,35336560
2520,2026-09-07,2377.0,,8078,19201406
2531,2026-09-07,2450.0,,634900,1555505000
2565,2026-09-07,877.0,,180611,158395847
2579,2026-09-07,3767.0,,729700,2748779900
2585,2026-09-07,1505.0,,575400,865977000
2587,2026-09-07,4456.0,,1290900,5752250400
2590,2026-09-07,3015.0,,107600,324414000
2593,2026-09-07,3129.0,,474100,1483458900
2602,2026-09-07,2038.0,,186300,379679400
2607,2026-09-07,4461.0,,300600,1340976600
2622,2026-09-07,1702.0,,1661,2827022
2637,2026-09-07,2661.0,,4048,10771728
2642,2026-09-07,54050.0,,3,162150
2656,2026-09-07,163.0,,230300,37538900
2659,2026-09-07,3320.0,,180300,598596000
2664,2026-09-07,3805.0,,98800,375934000
2670,2026-09-07,2697.5,,633000,1707517500
2678,2026-09-07,1296.0,,322100,417441600
2681,2026-09-07,2343.0,,146100,342312300
2685,2026-09-07,3245.0,,217900,707085500
268A,2026-09-07,1706.0,,2751800,4694570800
2695,2026-09-07,1696.0,,268700,455715200
2702,2026-09-07,8100.0,,380800,3084480000
2726,2026-09-07,1509.0,,821900,1240247100
2730,2026-09-07,2488.0,,194300,483418400
