Code,Date,Close,MarketCapB
1301,2026-03-23,4801.53,0
1305,2026-03-23,3700.0,0
1326,2026-03-23,62270.0,0
1332,2026-03-23,1309.25,0
1333,2026-03-23,1417.97,0
1349,2026-03-23,17765.0,0
1375,2026-03-23,1045.19,0
1376,2026-03-23,1428.0,0
1377,2026-03-23,4330.0,0
1379,2026-03-23,1850.67,0
1380,2026-03-23,1059.19,0
1381,2026-03-23,3415.0,0
1382,2026-03-23,1805.0,0
1383,2026-03-23,3185.0,0
1384,2026-03-23,2817.42,0
1401,2026-03-23,1368.0,0
1407,2026-03-23,1670.0,0
1414,2026-03-23,1375.0,0
1417,2026-03-23,3486.88,0
1418,2026-03-23,483.0,0
1419,2026-03-23,3920.0,0
1420,2026-03-23,680.82,0
1429,2026-03-23,707.0,0
1430,2026-03-23,1004.0,0
1431,2026-03-23,647.39,0
1433,2026-03-23,1141.0,0
1434,2026-03-23,1793.0,0
1435,2026-03-23,185.0,0
1436,2026-03-23,3655.0,0
1438,2026-03-23,1810.01,0
1443,2026-03-23,293.88,0
1444,2026-03-23,2556.0,0
1445,2026-03-23,2900.0,0
1446,2026-03-23,578.0,0
1447,2026-03-23,415.46,0
1450,2026-03-23,1498.86,0
1452,2026-03-23,18530.0,0
1491,2026-03-23,962.0,0
1514,2026-03-23,859.04,0
1515,2026-03-23,2472.67,0
1518,2026-03-23,1325.14,0
1557,2026-03-23,102950.0,0
1605,2026-03-23,4483.0,0
1662,2026-03-23,2464.36,0
1663,2026-03-23,5080.0,0
1711,2026-03-23,287.0,0
1716,2026-03-23,1470.0,0
1717,2026-03-23,979.74,0
1718,2026-03-23,7320.0,0
1719,2026-03-23,1825.21,0
1720,2026-03-23,1379.95,0
1721,2026-03-23,4889.07,0
1723,2026-03-23,2346.68,0
1724,2026-03-23,703.0,0
1726,2026-03-23,525.0,0
1736,2026-03-23,2253.77,0
1758,2026-03-23,2344.0,0
1762,2026-03-23,3407.29,0
1764,2026-03-23,3045.0,0
1766,2026-03-23,12900.0,0
1768,2026-03-23,1349.68,0
1770,2026-03-23,1588.56,0
1773,2026-03-23,68.0,0
1776,2026-03-23,1995.0,0
1780,2026-03-23,1619.09,0
1783,2026-03-23,60.0,0
1786,2026-03-23,363.66,0
1787,2026-03-23,6109.07,0
1788,2026-03-23,5220.0,0
1793,2026-03-23,1783.0,0
1795,2026-03-23,4495.0,0
1798,2026-03-23,1053.17,0
1799,2026-03-23,3688.16,0
1801,2026-03-23,15392.05,0
1803,2026-03-23,2702.83,0
1807,2026-03-23,1970.14,0
1810,2026-03-23,1555.52,0
1811,2026-03-23,8084.63,0
1813,2026-03-23,2933.02,0
1814,2026-03-23,3551.89,0
1815,2026-03-23,4270.11,0
1820,2026-03-23,5663.86,0
1822,2026-03-23,756.0,0
1826,2026-03-23,1127.75,0
1827,2026-03-23,1335.87,0
1828,2026-03-23,2463.2,0
1833,2026-03-23,6132.35,0
1835,2026-03-23,5114.78,0
1840,2026-03-23,228.0,0
1844,2026-03-23,567.0,0
1847,2026-03-23,2652.8,0
1848,2026-03-23,541.94,0
1850,2026-03-23,479.21,0
1852,2026-03-23,960.07,0
1860,2026-03-23,1415.89,0
1861,2026-03-23,1553.13,0
1867,2026-03-23,2764.25,0
1870,2026-03-23,2030.43,0
1871,2026-03-23,2625.94,0
1873,2026-03-23,305.0,0
1878,2026-03-23,3382.15,0
1879,2026-03-23,1891.12,0
1882,2026-03-23,1697.35,0
1887,2026-03-23,577.0,0
1888,2026-03-23,4066.52,0
1893,2026-03-23,1673.44,0
1897,2026-03-23,3315.0,0
1898,2026-03-23,1499.04,0
1899,2026-03-23,7930.0,0
1904,2026-03-23,5024.34,0
1905,2026-03-23,1469.83,0
1909,2026-03-23,2663.54,0
1911,2026-03-23,1395.0,0
1921,2026-03-23,1946.64,0
1925,2026-03-23,4947.84,0
1926,2026-03-23,3847.49,0
1928,2026-03-23,3451.0,0
1929,2026-03-23,1189.01,0
1930,2026-03-23,1433.73,0
1934,2026-03-23,2478.99,0
1939,2026-03-23,1846.65,0
1941,2026-03-23,4417.71,0
1942,2026-03-23,5846.6,0
1944,2026-03-23,6874.97,0
1945,2026-03-23,1718.1,0
1946,2026-03-23,1888.41,0
1948,2026-03-23,6246.59,0
1950,2026-03-23,4661.16,0
1951,2026-03-23,2593.43,0
1952,2026-03-23,3346.41,0
1960,2026-03-23,1314.34,0
1961,2026-03-23,6423.06,0
1964,2026-03-23,4145.23,0
1965,2026-03-23,5861.97,0
1966,2026-03-23,1703.37,0
1967,2026-03-23,2146.0,0
1968,2026-03-23,2902.07,0
1969,2026-03-23,4338.67,0
1972,2026-03-23,1303.87,0
1975,2026-03-23,3438.59,0
1976,2026-03-23,1712.62,0
1979,2026-03-23,3282.03,0
1980,2026-03-23,2714.21,0
1982,2026-03-23,2727.06,0
1992,2026-03-23,2767.08,0
1997,2026-03-23,4165.0,0
2001,2026-03-23,2631.25,0
2002,2026-03-23,1991.77,0
2003,2026-03-23,1732.1,0
2053,2026-03-23,1687.27,0
2055,2026-03-23,366.03,0
2060,2026-03-23,1143.03,0
2108,2026-03-23,3943.68,0
2109,2026-03-23,3282.16,0
2112,2026-03-23,507.66,0
2114,2026-03-23,633.45,0
2121,2026-03-23,2518.62,0
2124,2026-03-23,835.0,0
2127,2026-03-23,612.94,0
2130,2026-03-23,1020.01,0
2134,2026-03-23,28.0,0
2136,2026-03-23,1479.55,0
2138,2026-03-23,524.0,0
2139,2026-03-23,483.85,0
2148,2026-03-23,1784.68,0
2152,2026-03-23,1423.38,0
2154,2026-03-23,1724.0,0
2157,2026-03-23,1040.0,0
2158,2026-03-23,772.0,0
2162,2026-03-23,397.04,0
2163,2026-03-23,1913.0,0
2164,2026-03-23,314.0,0
2168,2026-03-23,1879.0,0
2169,2026-03-23,1823.0,0
2170,2026-03-23,523.03,0
2173,2026-03-23,925.0,0
2175,2026-03-23,1593.57,0
2179,2026-03-23,805.05,0
2180,2026-03-23,903.0,0
2181,2026-03-23,219.5,0
2183,2026-03-23,259.0,0
2185,2026-03-23,1796.23,0
2186,2026-03-23,896.0,0
2195,2026-03-23,367.0,0
2198,2026-03-23,792.0,0
2201,2026-03-23,2591.84,0
2204,2026-03-23,3227.21,0
2207,2026-03-23,2802.06,0
2208,2026-03-23,3153.74,0
2209,2026-03-23,2367.59,0
2211,2026-03-23,2424.0,0
2212,2026-03-23,3218.0,0
2215,2026-03-23,587.0,0
2216,2026-03-23,1141.0,0
2217,2026-03-23,1468.0,0
2220,2026-03-23,1411.95,0
2221,2026-03-23,3230.14,0
2222,2026-03-23,1875.49,0
2224,2026-03-23,3733.06,0
2226,2026-03-23,4595.53,0
2264,2026-03-23,4546.45,0
2266,2026-03-23,1118.0,0
2267,2026-03-23,2549.18,0
2268,2026-03-23,4005.0,0
2269,2026-03-23,3808.61,0
2270,2026-03-23,3094.06,0
2281,2026-03-23,2581.72,0
2282,2026-03-23,6559.1,0
2286,2026-03-23,921.79,0
2288,2026-03-23,2172.57,0
2291,2026-03-23,612.0,0
2292,2026-03-23,2878.0,0
2294,2026-03-23,2762.0,0
2296,2026-03-23,5786.87,0
3402,2026-03-23,1039.59,0
5938,2026-03-23,1587.7,0
6027,2026-03-23,2763.0,0
6186,2026-03-23,367.96,0
6506,2026-03-23,4242.0,0
6927,2026-03-23,1125.47,0
7087,2026-03-23,1330.7,0
7148,2026-03-23,1859.07,0
7325,2026-03-23,835.0,0
7874,2026-03-23,1083.7,0
8025,2026-03-23,1310.46,0
8046,2026-03-23,1020.99,0
8795,2026-03-23,3564.62,0
9009,2026-03-23,1190.25,0
9989,2026-03-23,3814.89,0
1802,2026-03-23,3643.51,0
1808,2026-03-23,2816.99,0
1812,2026-03-23,5661.31,0
1885,2026-03-23,2975.27,0
1959,2026-03-23,9093.8,0
1963,2026-03-23,2009.7,0
2146,2026-03-23,192.5,0
2193,2026-03-23,154.0,0
2206,2026-03-23,5893.0,0
2229,2026-03-23,2943.98,0
2301,2026-03-23,1601.0,0
2317,2026-03-23,402.17,0
2326,2026-03-23,4818.49,0
2327,2026-03-23,3584.74,0
2331,2026-03-23,1190.4,0
2337,2026-03-23,454.0,0
2353,2026-03-23,257.0,0
2371,2026-03-23,1939.01,0
2379,2026-03-23,2023.0,0
2384,2026-03-23,3955.0,0
2753,2026-03-23,1399.26,0
2408,2026-03-23,711.0,0
7463,2026-03-23,843.11,0
6866,2026-03-23,7250.0,0
2411,2026-03-23,454.18,0
4929,2026-03-23,756.0,0
3091,2026-03-23,4210.0,0
4684,2026-03-23,3861.11,0
4733,2026-03-23,6043.49,0
296A,2026-03-23,723.21,0
5576,2026-03-23,2526.14,0
6146,2026-03-23,64997.7,0
6653,2026-03-23,2135.0,0
8060,2026-03-23,3395.5,0
5204,2026-03-23,3215.0,0
6858,2026-03-23,782.0,0
7309,2026-03-23,16215.0,0
7751,2026-03-23,4273.0,0
7931,2026-03-23,3115.0,0
9795,2026-03-23,2377.65,0
2481,2026-03-23,669.0,0
2737,2026-03-23,11673.38,0
2801,2026-03-23,1296.39,0
3231,2026-03-23,990.54,0
3891,2026-03-23,3457.42,0
3912,2026-03-23,1162.0,0
4307,2026-03-23,4190.26,0
4519,2026-03-23,7947.0,0
4765,2026-03-23,574.53,0
4832,2026-03-23,1976.99,0
4956,2026-03-23,1311.68,0
4973,2026-03-23,4520.91,0
5423,2026-03-23,1539.4,0
5609,2026-03-23,811.26,0
5990,2026-03-23,1999.0,0
6305,2026-03-23,5087.5,0
6345,2026-03-23,1270.9,0
6663,2026-03-23,291.0,0
6723,2026-03-23,2276.0,0
6807,2026-03-23,2209.47,0
6861,2026-03-23,56280.0,0
6954,2026-03-23,5651.0,0
6995,2026-03-23,2844.2,0
6999,2026-03-23,1483.52,0
7102,2026-03-23,3500.53,0
7175,2026-03-23,1241.77,0
7422,2026-03-23,397.0,0
7839,2026-03-23,1580.0,0
