Code,Date,Close,MarketCapB,Volume,TurnoverJPY
1301,2026-09-17,4740.0,56.3,36400,172536000
1306,2026-09-17,427.3999938964844,,13404630,5729138780
1308,2026-09-17,4214.0,,372079,1567940906
1332,2026-09-17,1205.0,365.4,1379100,1661815500
1333,2026-09-17,1306.0,197.4,370400,483742400
1358,2026-09-17,123800.0,,6240,772512000
1377,2026-09-17,4430.0,187.2,81500,361045000
1383,2026-09-17,3020.0,4.8,1200,3624000
1414,2026-09-17,1299.5,262.6,842900,1095348550
1417,2026-09-17,3617.0,320.7,149400,540379800
1419,2026-09-17,2900.0,84.1,77500,224750000
1466,2026-09-17,199.0,,497,98903
1515,2026-09-17,3275.0,257.7,455800,1492745000
1518,2026-09-17,2285.0,87.8,269700,616264500
1540,2026-09-17,20090.0,,163672,3288170480
1557,2026-09-17,118500.0,,647,76669500
1605,2026-09-17,3929.0,4566.2,6083800,23903250200
1622,2026-09-17,34510.0,,333,11491830
1627,2026-09-17,13100.0,,3518,46085800
1630,2026-09-17,36260.0,,353,12799780
1633,2026-09-17,49250.0,,145,7141250
1660,2026-09-17,10350.0,,1860,19251000
1662,2026-09-17,1939.0,496.3,1584100,3071569900
1663,2026-09-17,1971.0,52.6,166500,328171500
167A,2026-09-17,3290.0,,130400,429016000
1688,2026-09-17,629.7000122070312,,2110,1328667
1719,2026-09-17,1936.5,303.6,681900,1320499350
1720,2026-09-17,1239.0,131.3,303000,375417000
1721,2026-09-17,5648.0,655.4,340300,1922014400
1766,2026-09-17,13560.0,150.5,20200,273912000
1801,2026-09-17,12730.0,2075.1,717300,9131229000
1802,2026-09-17,3129.0,,1903200,5955112800
1803,2026-09-17,2413.0,1632.5,3383500,8164385500
1808,2026-09-17,2785.5,,735900,2049849450
1812,2026-09-17,5069.0,,1513300,7670917700
1820,2026-09-17,5729.0,226.2,103300,591805700
1833,2026-09-17,5840.0,209.5,98600,575824000
1835,2026-09-17,3970.0,136.7,52800,209616000
1852,2026-09-17,912.0,73.6,290900,265300800
1860,2026-09-17,1526.0,457.3,546200,833501200
1861,2026-09-17,1324.0,227.6,787500,1042650000
1870,2026-09-17,2193.0,94.7,105400,231142200
1878,2026-09-17,3392.0,1124.0,1140500,3868576000
1882,2026-09-17,1620.0,74.9,270100,437562000
1885,2026-09-17,2205.0,,366500,808132500
1893,2026-09-17,1583.0,432.3,2723400,4311142200
1898,2026-09-17,1502.0,55.0,101600,152603200
1904,2026-09-17,5210.0,31.5,11500,59915000
1911,2026-09-17,1255.0,767.3,3519200,4416596000
1925,2026-09-17,4626.0,2865.1,1484800,6868684800
1926,2026-09-17,3960.0,169.4,114300,452628000
1928,2026-09-17,3403.0,2206.0,2131100,7252133300
1934,2026-09-17,2674.0,183.7,99300,265528200
1941,2026-09-17,5200.0,275.3,61000,317200000
1942,2026-09-17,5656.0,1125.6,525800,2973924800
1944,2026-09-17,7000.0,1385.9,374800,2623600000
1950,2026-09-17,4155.0,242.5,68000,282540000
1951,2026-09-17,2633.0,546.4,368300,969733900
1952,2026-09-17,3270.0,148.5,81500,266505000
1959,2026-09-17,8089.0,,142800,1155109200
1961,2026-09-17,2521.0,128.4,474800,1196970800
1963,2026-09-17,2359.5,,1176600,2776187700
1968,2026-09-17,2591.0,163.5,79100,204948100
1969,2026-09-17,4662.0,610.1,456300,2127270600
1975,2026-09-17,3990.0,102.8,46600,185934000
1979,2026-09-17,3870.0,243.8,156300,604881000
1980,2026-09-17,2907.0,376.1,407800,1185474600
2001,2026-09-17,3020.0,250.6,165300,499206000
2002,2026-09-17,2084.5,588.8,509500,1062052750
2034,2026-09-17,1909.0,,15630,29837670
2066,2026-09-17,23400.0,,60,1404000
2109,2026-09-17,3880.0,120.7,54700,212236000
2121,2026-09-17,3840.0,250.0,354600,1361664000
2124,2026-09-17,1051.0,166.5,520100,546625100
2127,2026-09-17,657.0,208.5,2567700,1686978900
2139,2026-09-17,520.0,3.5,1300,676000
2146,2026-09-17,242.0,,4453000,1077626000
2148,2026-09-17,1158.0,22.5,41000,47478000
2152,2026-09-17,1547.0,16.7,800,1237600
2154,2026-09-17,2043.0,173.5,124000,253332000
2157,2026-09-17,1008.0,83.1,455500,459144000
2168,2026-09-17,1595.0,59.6,150700,240366500
2175,2026-09-17,2676.0,219.6,388300,1039090800
2181,2026-09-17,300.8999938964844,671.3,8594800,2586175268
2201,2026-09-17,2521.0,211.8,279600,704871600
2206,2026-09-17,5062.0,,145800,738039600
2212,2026-09-17,3775.0,743.3,556500,2100787500
2220,2026-09-17,1333.0,84.3,208300,277663900
2222,2026-09-17,2585.0,399.2,388400,1004014000
2229,2026-09-17,3076.0,,234100,720091600
2254,2026-09-17,964.0,,23533,22685812
2264,2026-09-17,1158.0,93.6,2136100,2473603800
2267,2026-09-17,2870.0,839.7,936100,2686607000
2269,2026-09-17,4370.0,1184.7,817200,3571164000
2270,2026-09-17,3820.0,232.0,134000,511880000
2281,2026-09-17,2448.0,123.0,164100,401716800
2282,2026-09-17,6292.0,595.3,424600,2671583200
2292,2026-09-17,2801.0,88.7,111300,311751300
2296,2026-09-17,5060.0,287.2,99300,502458000
2317,2026-09-17,441.0,,711800,313903800
2326,2026-09-17,4945.0,,172400,852518000
2327,2026-09-17,3925.0,,223300,876452500
2330,2026-09-17,92.0,,1764500,162334000
2331,2026-09-17,1270.5,,1148400,1459042200
2337,2026-09-17,410.0,,750300,307623000
2353,2026-09-17,271.0,,2233600,605305600
2371,2026-09-17,3795.0,,237200,900174000
2379,2026-09-17,1850.0,,215800,399230000
2384,2026-09-17,5180.0,,48300,250194000
2413,2026-09-17,1797.5,,2616200,4702619500
2432,2026-09-17,2578.0,,956500,2465857000
2433,2026-09-17,1342.0,,884500,1186999000
2480,2026-09-17,1850.0,,2100,3885000
2492,2026-09-17,720.0,,2732600,1967472000
2501,2026-09-17,1909.0,,960700,1833976300
2502,2026-09-17,1645.0,,4788900,7877740500
2503,2026-09-17,2892.5,,2605100,7535251750
2527,2026-09-17,1080.0,,35118,37927440
2531,2026-09-17,2526.5,,399500,1009336750
2533,2026-09-17,488.0,,122700,59877600
2565,2026-09-17,870.0,,3589,3122430
2579,2026-09-17,3889.0,,797000,3099533000
2585,2026-09-17,1381.0,,497100,686495100
2587,2026-09-17,4612.0,,761100,3510193200
2590,2026-09-17,3055.0,,78600,240123000
2593,2026-09-17,3233.0,,287100,928194300
