Code,Date,Close,MarketCapB
1301,2026-08-28,4760.0,56.5
1306,2026-08-28,429.3999938964844,
1308,2026-08-28,4234.0,
1332,2026-08-28,1295.0,392.7
1333,2026-08-28,1310.0,198.0
1356,2026-08-28,104.30000305175781,
1377,2026-08-28,4395.0,185.7
1379,2026-08-28,2121.0,66.4
1414,2026-08-28,1272.0,257.1
1417,2026-08-28,3611.0,320.2
1419,2026-08-28,3055.0,88.6
1480,2026-08-28,40260.0,
1485,2026-08-28,54550.0,
1499,2026-08-28,9210.0,
1515,2026-08-28,3930.0,309.2
1518,2026-08-28,2318.0,89.1
1596,2026-08-28,3080.0,
1605,2026-08-28,3856.0,4481.4
1625,2026-08-28,64870.0,
1658,2026-08-28,4400.0,
1662,2026-08-28,1864.0,477.1
1663,2026-08-28,1961.0,52.3
167A,2026-08-28,3200.0,
1719,2026-08-28,1923.0,301.5
1720,2026-08-28,1176.0,124.6
1721,2026-08-28,5432.0,630.4
1766,2026-08-28,13620.0,151.2
1773,2026-08-28,100.0,1249.2
1801,2026-08-28,12880.0,2099.6
1802,2026-08-28,2993.0,
1803,2026-08-28,2418.0,1635.9
1808,2026-08-28,2896.0,
1812,2026-08-28,4826.0,
1814,2026-08-28,3720.0,38.6
1820,2026-08-28,5561.0,219.6
1833,2026-08-28,5860.0,210.2
1835,2026-08-28,4000.0,137.8
1852,2026-08-28,923.0,74.5
1860,2026-08-28,1522.0,456.1
1861,2026-08-28,1303.0,224.0
1870,2026-08-28,2182.0,94.2
1878,2026-08-28,3328.0,1102.8
1882,2026-08-28,1631.0,75.4
1885,2026-08-28,2143.0,
1893,2026-08-28,1455.5,397.5
1897,2026-08-28,3230.0,6.8
1898,2026-08-28,1501.0,55.0
1911,2026-08-28,1344.0,821.8
1925,2026-08-28,4716.0,2920.8
1926,2026-08-28,3825.0,163.6
1928,2026-08-28,3460.0,2242.9
1934,2026-08-28,2590.0,177.9
1941,2026-08-28,5120.0,271.1
1942,2026-08-28,5483.0,1091.2
1944,2026-08-28,6975.0,1381.0
1950,2026-08-28,3980.0,232.3
1951,2026-08-28,2633.5,546.5
1952,2026-08-28,3115.0,141.5
1959,2026-08-28,8255.0,
1961,2026-08-28,2462.0,125.4
1963,2026-08-28,2293.0,
1968,2026-08-28,2486.0,156.9
1969,2026-08-28,4361.0,570.7
1975,2026-08-28,3920.0,101.0
1976,2026-08-28,1740.0,79.9
1979,2026-08-28,3895.0,245.4
1980,2026-08-28,2794.0,361.5
2001,2026-08-28,2904.0,241.0
2002,2026-08-28,2033.0,574.3
2011,2026-08-28,862.0999755859375,
2037,2026-08-28,1186.0,
2042,2026-08-28,8480.0,
2060,2026-08-28,1401.0,53.6
2067,2026-08-28,28825.0,
2109,2026-08-28,3650.0,113.6
2121,2026-08-28,3585.0,233.4
2124,2026-08-28,982.0,155.6
2127,2026-08-28,688.7999877929688,218.6
2146,2026-08-28,231.0,
2152,2026-08-28,1543.0,16.7
2154,2026-08-28,2057.0,174.7
2157,2026-08-28,1014.0,83.6
2168,2026-08-28,1703.0,63.6
2175,2026-08-28,2412.0,198.0
2181,2026-08-28,294.1000061035156,656.1
2186,2026-08-28,906.5,7.1
2201,2026-08-28,2546.0,213.9
2206,2026-08-28,5204.0,
2212,2026-08-28,3649.0,718.5
2220,2026-08-28,1409.0,89.1
2222,2026-08-28,2705.5,417.8
2226,2026-08-28,4885.0,52.1
2229,2026-08-28,3060.0,
2264,2026-08-28,1158.5,93.6
2267,2026-08-28,2824.5,826.3
2269,2026-08-28,4457.0,1208.3
2270,2026-08-28,3730.0,226.5
2281,2026-08-28,2422.0,121.7
2282,2026-08-28,6332.0,599.1
2286,2026-08-28,916.0,7.5
2292,2026-08-28,2891.0,91.6
2296,2026-08-28,5100.0,289.4
2317,2026-08-28,443.0,
2326,2026-08-28,4520.0,
2327,2026-08-28,3901.0,
2331,2026-08-28,1191.5,
2337,2026-08-28,411.0,
2353,2026-08-28,272.0,
2371,2026-08-28,3673.0,
2378,2026-08-28,1064.0,
2379,2026-08-28,1838.0,
2384,2026-08-28,5210.0,
2413,2026-08-28,1778.5,
2432,2026-08-28,2528.0,
2433,2026-08-28,1328.5,
2492,2026-08-28,605.0,
2501,2026-08-28,1916.5,
2502,2026-08-28,1664.0,
2503,2026-08-28,3049.0,
2522,2026-08-28,9000.0,
2531,2026-08-28,2107.0,
2569,2026-08-28,4290.0,
2579,2026-08-28,3920.0,
2585,2026-08-28,1548.0,
2587,2026-08-28,4535.0,
2590,2026-08-28,3010.0,
2593,2026-08-28,3002.0,
2602,2026-08-28,2049.0,
2607,2026-08-28,4555.0,
2659,2026-08-28,3365.0,
2664,2026-08-28,3745.0,
2670,2026-08-28,2736.5,
2678,2026-08-28,1300.0,
2681,2026-08-28,2388.0,
2685,2026-08-28,3490.0,
268A,2026-08-28,1697.0,
2694,2026-08-28,72.0,
2695,2026-08-28,1750.0,
2702,2026-08-28,8050.0,
2726,2026-08-28,1494.0,
2730,2026-08-28,2530.0,
2733,2026-08-28,2731.0,
2749,2026-08-28,658.0,
2752,2026-08-28,1141.0,
2760,2026-08-28,4045.0,
2764,2026-08-28,156.0,
2767,2026-08-28,2510.0,
2768,2026-08-28,5589.0,
2784,2026-08-28,2291.0,
2791,2026-08-28,4560.0,
2792,2026-08-28,1468.0,
2801,2026-08-28,1793.0,
2802,2026-08-28,5441.0,
2809,2026-08-28,4686.0,
2810,2026-08-28,3733.0,
2811,2026-08-28,2734.0,
2814,2026-08-28,3500.0,
2815,2026-08-28,5450.0,
285A,2026-08-28,52500.0,
2871,2026-08-28,2147.0,
2874,2026-08-28,2197.0,
2875,2026-08-28,10435.0,
2897,2026-08-28,2977.5,
2914,2026-08-28,7001.0,
2918,2026-08-28,2817.0,
2931,2026-08-28,359.0,
3002,2026-08-28,4180.0,
3003,2026-08-28,1793.0,
3020,2026-08-28,4325.0,
3028,2026-08-28,2371.0,
3034,2026-08-28,2505.0,
3036,2026-08-28,3480.0,
3038,2026-08-28,2817.5,
3046,2026-08-28,6142.0,
3048,2026-08-28,1772.0,
3050,2026-08-28,1601.0,
3064,2026-08-28,1872.5,
3071,2026-08-28,105.0,
3076,2026-08-28,2967.0,
3086,2026-08-28,3111.0,
3087,2026-08-28,3365.0,
3088,2026-08-28,2579.5,
3091,2026-08-28,2735.0,
3092,2026-08-28,1143.0,
3097,2026-08-28,5620.0,
3099,2026-08-28,3571.0,
3101,2026-08-28,1658.0,
3105,2026-08-28,2145.0,
3106,2026-08-28,10710.0,
3107,2026-08-28,3708.0,
3110,2026-08-28,2987.0,
3116,2026-08-28,2239.5,
3132,2026-08-28,3599.0,
3148,2026-08-28,3400.0,
3167,2026-08-28,1289.0,
3182,2026-08-28,1708.0,
3186,2026-08-28,3365.0,
3191,2026-08-28,2292.0,
3197,2026-08-28,3343.0,
3201,2026-08-28,1971.0,
3222,2026-08-28,842.0,
3231,2026-08-28,933.2999877929688,
3232,2026-08-28,613.0,
3249,2026-08-28,138600.0,
3281,2026-08-28,135570.0,
3288,2026-08-28,7957.0,
3289,2026-08-28,1338.0,
3291,2026-08-28,2379.0,
3309,2026-08-28,74400.0,
3349,2026-08-28,6569.0,
3360,2026-08-28,2346.5,
3377,2026-08-28,397.0,
3382,2026-08-28,1983.0,
3387,2026-08-28,769.5,
3391,2026-08-28,2354.5,
3395,2026-08-28,2500.0,
3397,2026-08-28,4324.0,
3401,2026-08-28,1730.0,
3402,2026-08-28,1276.5,1869.8
3405,2026-08-28,1828.0,
3407,2026-08-28,1649.0,
3431,2026-08-28,1639.0,
3433,2026-08-28,2785.0,
3436,2026-08-28,3434.0,
3445,2026-08-28,5760.0,
3457,2026-08-28,937.0,
3465,2026-08-28,3750.0,
3484,2026-08-28,1114.0,
3494,2026-08-28,443.0,
3498,2026-08-28,7925.0,
3539,2026-08-28,1505.0,
3543,2026-08-28,2945.0,
3549,2026-08-28,4097.0,
3563,2026-08-28,5802.0,
3569,2026-08-28,3450.0,
3591,2026-08-28,4310.0,
3598,2026-08-28,163.0,
3608,2026-08-28,1270.0,
3612,2026-08-28,1664.0,
3625,2026-08-28,669.0,
3626,2026-08-28,3871.0,
3635,2026-08-28,1688.5,
3636,2026-08-28,4995.0,
3659,2026-08-28,3092.0,
3660,2026-08-28,531.0,
3661,2026-08-28,831.0,
3668,2026-08-28,440.0,
3673,2026-08-28,480.0,
3691,2026-08-28,1909.0,
3697,2026-08-28,962.699951171875,
3762,2026-08-28,2342.0,
3765,2026-08-28,2440.0,
3769,2026-08-28,9606.0,
3774,2026-08-28,3262.0,
3778,2026-08-28,3655.0,
3844,2026-08-28,1351.0,
3861,2026-08-28,876.5999755859375,
3863,2026-08-28,1405.0,
3865,2026-08-28,919.0,
3880,2026-08-28,985.0,
3917,2026-08-28,473.0,
3923,2026-08-28,1137.0,
3933,2026-08-28,570.0,
3941,2026-08-28,1592.5,
3962,2026-08-28,1003.0,
3963,2026-08-28,348.0,
3984,2026-08-28,1535.0,
3993,2026-08-28,3270.0,
3994,2026-08-28,6428.0,
4004,2026-08-28,16390.0,
4005,2026-08-28,558.2000122070312,
4008,2026-08-28,1567.0,
4013,2026-08-28,659.0,
4015,2026-08-28,538.0,
4021,2026-08-28,8053.0,
4023,2026-08-28,4485.0,
4028,2026-08-28,3215.0,
4041,2026-08-28,3980.0,
4042,2026-08-28,2663.5,
4043,2026-08-28,4026.0,
4044,2026-08-28,4535.0,
4045,2026-08-28,1861.0,
4046,2026-08-28,2089.0,
4047,2026-08-28,2393.0,
4061,2026-08-28,3406.0,
4062,2026-08-28,20545.0,
4063,2026-08-28,5993.0,
4071,2026-08-28,2196.0,
4078,2026-08-28,3955.0,
4091,2026-08-28,5687.0,
4095,2026-08-28,1753.0,
4099,2026-08-28,2469.0,
4109,2026-08-28,5510.0,
4114,2026-08-28,2652.5,
4118,2026-08-28,6173.0,
4124,2026-08-28,2964.0,
4151,2026-08-28,2618.0,
417A,2026-08-28,1855.5,
4180,2026-08-28,1299.0,
4182,2026-08-28,3900.0,
4183,2026-08-28,2135.5,
4186,2026-08-28,8780.0,
4187,2026-08-28,4605.0,
4188,2026-08-28,1171.0,
4189,2026-08-28,3435.0,
4194,2026-08-28,9274.0,
4199,2026-08-28,854.0,
4202,2026-08-28,1457.5,
4203,2026-08-28,7534.0,
4204,2026-08-28,2646.0,
4205,2026-08-28,2420.5,
4206,2026-08-28,4102.0,
4208,2026-08-28,3560.0,
4212,2026-08-28,2932.0,
4216,2026-08-28,5960.0,
4229,2026-08-28,4410.0,
4235,2026-08-28,685.0,
4260,2026-08-28,214.0,
4272,2026-08-28,2095.5,
4290,2026-08-28,734.0,
4307,2026-08-28,5046.0,
4324,2026-08-28,3535.0,
4368,2026-08-28,3055.0,
4369,2026-08-28,3235.0,
4370,2026-08-28,313.0,
4373,2026-08-28,1193.0,
4385,2026-08-28,4593.0,
4386,2026-08-28,898.0,
4401,2026-08-28,4653.0,
4403,2026-08-28,2800.5,
