Code,Date,Close,MarketCapB
1301,2026-02-26,5155.94,0
1305,2026-02-26,4120.0,0
1326,2026-02-26,74510.0,0
1332,2026-02-26,1486.91,0
1333,2026-02-26,1513.42,0
1349,2026-02-26,17990.0,0
1375,2026-02-26,1088.7,0
1376,2026-02-26,1520.0,0
1377,2026-02-26,4315.0,0
1379,2026-02-26,1946.43,0
1380,2026-02-26,1040.37,0
1381,2026-02-26,3980.0,0
1382,2026-02-26,1862.0,0
1383,2026-02-26,3275.0,0
1384,2026-02-26,3024.83,0
1401,2026-02-26,1495.0,0
1407,2026-02-26,1675.0,0
1414,2026-02-26,1446.5,0
1417,2026-02-26,3865.2,0
1418,2026-02-26,564.0,0
1419,2026-02-26,3965.0,0
1420,2026-02-26,702.04,0
1429,2026-02-26,838.0,0
1430,2026-02-26,1116.0,0
1431,2026-02-26,658.36,0
1433,2026-02-26,1286.0,0
1434,2026-02-26,2091.0,0
1435,2026-02-26,203.0,0
1436,2026-02-26,2960.0,0
1438,2026-02-26,1865.4,0
1443,2026-02-26,333.73,0
1444,2026-02-26,2679.0,0
1445,2026-02-26,2900.0,0
1446,2026-02-26,592.0,0
1447,2026-02-26,400.62,0
1450,2026-02-26,1567.34,0
1452,2026-02-26,18530.0,0
1491,2026-02-26,1118.0,0
1514,2026-02-26,850.17,0
1515,2026-02-26,3994.23,0
1518,2026-02-26,1428.04,0
1557,2026-02-26,107757.45,0
1605,2026-02-26,3685.0,0
1662,2026-02-26,2227.15,0
1663,2026-02-26,5080.0,0
1711,2026-02-26,289.0,0
1716,2026-02-26,1576.0,0
1717,2026-02-26,1045.89,0
1718,2026-02-26,8270.0,0
1719,2026-02-26,2054.34,0
1720,2026-02-26,1522.98,0
1721,2026-02-26,5540.36,0
1723,2026-02-26,2856.62,0
1724,2026-02-26,743.0,0
1726,2026-02-26,528.0,0
1736,2026-02-26,2456.79,0
1758,2026-02-26,2654.0,0
1762,2026-02-26,3935.67,0
1764,2026-02-26,3335.0,0
1766,2026-02-26,14990.0,0
1768,2026-02-26,1587.8,0
1770,2026-02-26,1865.43,0
1773,2026-02-26,79.0,0
1776,2026-02-26,1645.0,0
1780,2026-02-26,1652.74,0
1783,2026-02-26,68.0,0
1786,2026-02-26,409.73,0
1787,2026-02-26,6003.41,0
1788,2026-02-26,5290.0,0
1793,2026-02-26,1931.01,0
1795,2026-02-26,4660.0,0
1798,2026-02-26,1246.89,0
1799,2026-02-26,4181.2,0
1801,2026-02-26,18917.44,0
1803,2026-02-26,3365.36,0
1807,2026-02-26,2073.06,0
1810,2026-02-26,1856.53,0
1811,2026-02-26,9348.16,0
1813,2026-02-26,3719.7,0
1814,2026-02-26,4216.34,0
1815,2026-02-26,4689.41,0
1820,2026-02-26,6579.09,0
1822,2026-02-26,831.7,0
1826,2026-02-26,1210.41,0
1827,2026-02-26,1553.95,0
1828,2026-02-26,2732.49,0
1833,2026-02-26,6913.54,0
1835,2026-02-26,5380.87,0
1840,2026-02-26,243.0,0
1844,2026-02-26,568.0,0
1847,2026-02-26,3069.88,0
1848,2026-02-26,633.73,0
1850,2026-02-26,543.44,0
1852,2026-02-26,1094.17,0
1860,2026-02-26,1552.56,0
1861,2026-02-26,1944.85,0
1867,2026-02-26,3049.38,0
1870,2026-02-26,2423.0,0
1871,2026-02-26,3415.38,0
1873,2026-02-26,325.0,0
1878,2026-02-26,3494.83,0
1879,2026-02-26,2112.97,0
1882,2026-02-26,1859.19,0
1887,2026-02-26,679.0,0
1888,2026-02-26,4730.54,0
1893,2026-02-26,2053.02,0
1897,2026-02-26,3300.0,0
1898,2026-02-26,1656.47,0
1899,2026-02-26,7700.0,0
1904,2026-02-26,4906.35,0
1905,2026-02-26,1453.11,0
1909,2026-02-26,3081.35,0
1911,2026-02-26,1678.0,0
1921,2026-02-26,1977.09,0
1925,2026-02-26,5488.89,0
1926,2026-02-26,4068.05,0
1928,2026-02-26,3800.0,0
1929,2026-02-26,1388.64,0
1930,2026-02-26,1682.05,0
1934,2026-02-26,3102.44,0
1939,2026-02-26,1965.19,0
1941,2026-02-26,4886.11,0
1942,2026-02-26,6581.62,0
1944,2026-02-26,8255.51,0
1945,2026-02-26,1870.63,0
1946,2026-02-26,2278.27,0
