Code,Date,Close,MarketCapB,Volume,TurnoverJPY
1301,2026-09-22,4690.0,55.7,36400,170716000
1306,2026-09-22,426.29998779296875,,13404630,5714393605
1308,2026-09-22,4210.0,,271722,1143949620
1322,2026-09-22,11600.0,,131,1519600
1332,2026-09-22,1163.0,352.7,1379100,1603893300
1333,2026-09-22,1292.5,195.4,370400,478742000
1377,2026-09-22,4410.0,186.4,81500,359415000
1414,2026-09-22,1259.0,254.4,842900,1061211100
1417,2026-09-22,3591.0,318.4,149400,536495400
1419,2026-09-22,2907.0,84.3,73700,214245900
1456,2026-09-22,1278.0,,40514,51776892
1458,2026-09-22,79820.0,,104576,8347256320
1493,2026-09-22,25870.0,,44,1138280
1515,2026-09-22,3485.0,274.2,455800,1588463000
1518,2026-09-22,2296.0,88.2,269700,619231200
1543,2026-09-22,59600.0,,207,12337200
1605,2026-09-22,3913.0,4547.6,5445900,21309806700
1619,2026-09-22,44690.0,,227,10144630
1656,2026-09-22,301.3999938964844,,179450,54086229
1662,2026-09-22,1929.0,493.7,1325600,2557082400
1663,2026-09-22,1936.0,51.7,185400,358934400
167A,2026-09-22,3300.0,,130400,430320000
1719,2026-09-22,1915.5,300.3,681900,1306179450
1720,2026-09-22,1241.0,131.5,341100,423305100
1721,2026-09-22,5868.0,681.0,340300,1996880400
1723,2026-09-22,2639.0,168.2,152800,403239200
1724,2026-09-22,720.0,3.2,2600,1872000
1736,2026-09-22,2500.0,38.7,4100,10250000
1764,2026-09-22,2681.0,3.3,400,1072400
1766,2026-09-22,13300.0,147.6,22900,304570000
1788,2026-09-22,4070.0,2.6,200,814000
1793,2026-09-22,2121.0,53.9,1300,2757300
1801,2026-09-22,12620.0,2057.2,717300,9052326000
1802,2026-09-22,3083.0,,1903200,5867565600
1803,2026-09-22,2358.0,1595.3,3383500,7978293000
1808,2026-09-22,2733.0,,735900,2011214700
1810,2026-09-22,1467.0,41.8,29200,42836400
1812,2026-09-22,4979.0,,1513300,7534720700
1820,2026-09-22,5685.0,224.5,112200,637857000
1833,2026-09-22,5770.0,207.0,98600,568922000
1835,2026-09-22,3960.0,136.4,52800,209088000
1852,2026-09-22,908.0,73.3,290900,264137200
1860,2026-09-22,1518.5,455.1,546200,829404700
1861,2026-09-22,1327.0,228.1,787500,1045012500
1870,2026-09-22,2193.0,94.7,117400,257458200
1878,2026-09-22,3352.0,1110.7,1140500,3822956000
1882,2026-09-22,1610.0,74.4,270100,434861000
1885,2026-09-22,2189.0,,366500,802268500
1887,2026-09-22,550.0,43.9,174600,96030000
1893,2026-09-22,1582.0,432.0,2723400,4308418800
1898,2026-09-22,1491.0,54.6,101600,151485600
1911,2026-09-22,1226.5,749.9,3519200,4316298800
1925,2026-09-22,4558.0,2823.0,1484800,6767718400
1926,2026-09-22,3925.0,167.9,114300,448627500
1928,2026-09-22,3350.0,2171.6,2131100,7139185000
1934,2026-09-22,2642.0,181.5,99300,262350600
1938,2026-09-22,2615.0,,51400,134411000
1941,2026-09-22,5150.0,272.7,61000,314150000
1942,2026-09-22,5543.0,1103.1,574400,3183899200
1944,2026-09-22,6929.0,1371.9,374800,2596989200
1950,2026-09-22,4125.0,240.8,68000,280500000
1951,2026-09-22,2621.0,543.9,368300,965314300
1952,2026-09-22,3240.0,147.2,81500,264060000
1959,2026-09-22,8087.0,,142800,1154823600
1961,2026-09-22,2531.0,128.9,474800,1201718800
1963,2026-09-22,2334.5,,1176600,2746772700
1968,2026-09-22,2558.0,161.4,79100,202337800
1969,2026-09-22,4713.0,616.8,456300,2150541900
1975,2026-09-22,3915.0,100.9,46600,182439000
1979,2026-09-22,3845.0,242.2,156300,600973500
1980,2026-09-22,2926.0,378.6,407800,1193222800
2001,2026-09-22,2979.0,247.2,165300,492428700
2002,2026-09-22,1998.0,564.4,509500,1017981000
2041,2026-09-22,1983.0,,5272,10454376
2043,2026-09-22,30000.0,,18,540000
